name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Trent Grisham,New York Yankees,New York Yankees @ Baltimore Orioles,1,663757,.175,.311,.676,0.365,0.190,24,6,1,6,13,50,26,28,28,167,137,16.8,16.8,17.5,0.365,ok
Taylor Ward,Baltimore Orioles,New York Yankees @ Baltimore Orioles,1,621493,.265,.426,.803,0.377,0.113,40,14,0,1,15,57,12,42,35,195,151,17.9,21.5,26.5,0.377,ok
Ben Rice,New York Yankees,New York Yankees @ Baltimore Orioles,2,700250,.303,.413,1.080,0.667,0.364,40,9,0,13,22,88,29,25,41,160,132,25.6,15.6,30.3,0.667,ok
Gunnar Henderson,Baltimore Orioles,New York Yankees @ Baltimore Orioles,2,683002,.197,.253,.646,0.393,0.197,36,7,1,9,17,72,21,13,57,198,183,28.8,6.6,19.7,0.393,ok
Aaron Judge,New York Yankees,New York Yankees @ Baltimore Orioles,3,592450,.268,.404,1.022,0.618,0.350,42,7,0,16,23,97,30,34,55,194,157,28.4,17.5,26.8,0.618,ok
Adley Rutschman,Baltimore Orioles,New York Yankees @ Baltimore Orioles,3,668939,.291,.339,.892,0.553,0.262,30,9,0,6,15,57,24,7,16,112,103,14.3,6.3,29.1,0.553,ok
Cody Bellinger,New York Yankees,New York Yankees @ Baltimore Orioles,4,641355,.273,.378,.852,0.474,0.201,42,10,3,5,18,73,29,28,23,185,154,12.4,15.1,27.3,0.474,ok
Pete Alonso,Baltimore Orioles,New York Yankees @ Baltimore Orioles,4,624413,.218,.310,.734,0.424,0.206,36,10,0,8,18,70,23,21,46,187,165,24.6,11.2,21.8,0.424,ok
Jazz Chisholm Jr.,New York Yankees,New York Yankees @ Baltimore Orioles,5,665862,.203,.281,.608,0.327,0.124,31,7,0,4,11,50,14,16,50,171,153,29.2,9.4,20.3,0.327,ok
Tyler O'Neill,Baltimore Orioles,New York Yankees @ Baltimore Orioles,5,641933,.177,.320,.562,0.242,0.065,11,1,0,1,2,15,6,11,18,75,62,24.0,14.7,17.7,0.242,ok
Ryan McMahon,New York Yankees,New York Yankees @ Baltimore Orioles,6,641857,.196,.274,.578,0.304,0.107,22,3,0,3,6,34,13,12,39,124,112,31.5,9.7,19.6,0.304,ok
Leody Taveras,Baltimore Orioles,New York Yankees @ Baltimore Orioles,6,665750,.248,.350,.726,0.376,0.129,25,5,1,2,8,38,19,16,25,119,101,21.0,13.4,24.8,0.376,ok
Spencer Jones,New York Yankees,New York Yankees @ Baltimore Orioles,7,682987,.083,.267,.350,0.083,0.000,1,0,0,0,0,1,1,3,6,15,12,40.0,20.0,8.3,0.083,ok
Coby Mayo,Baltimore Orioles,New York Yankees @ Baltimore Orioles,7,691723,.174,.242,.563,0.321,0.147,19,4,0,4,8,35,16,10,37,120,109,30.8,8.3,17.4,0.321,ok
Anthony Volpe,New York Yankees,New York Yankees @ Baltimore Orioles,8,683011,.000,.000,.000,0.000,0.000,0,0,0,0,0,0,0,0,1,3,3,33.3,0.0,0.0,0.000,ok
Weston Wilson,Baltimore Orioles,New York Yankees @ Baltimore Orioles,8,642215,.259,.412,.708,0.296,0.037,7,1,0,0,1,8,2,6,10,34,27,29.4,17.6,25.9,0.296,ok
J.C. Escarra,New York Yankees,New York Yankees @ Baltimore Orioles,9,641555,.182,.234,.529,0.295,0.114,8,3,1,0,4,13,6,3,11,47,44,23.4,6.4,18.2,0.295,ok
Blaze Alexander,Baltimore Orioles,New York Yankees @ Baltimore Orioles,9,677942,.244,.299,.588,0.289,0.044,22,2,1,0,3,26,5,6,30,100,90,30.0,6.0,24.4,0.289,ok
Vaughn Grissom,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,1,687093,.264,.353,.784,0.431,0.167,19,6,0,2,8,31,11,11,8,86,72,9.3,12.8,26.4,0.431,ok
Angel Martínez,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,1,682657,.260,.300,.773,0.473,0.214,34,7,0,7,14,62,19,5,31,143,131,21.7,3.5,26.0,0.473,ok
Mike Trout,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,2,545361,.248,.410,.913,0.503,0.255,38,6,0,11,17,77,23,39,51,195,153,26.2,20.0,24.8,0.503,ok
José Ramírez,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,2,608070,.207,.340,.706,0.366,0.159,34,8,0,6,14,60,16,32,28,197,164,14.2,16.2,20.7,0.366,ok
Jo Adell,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,3,666176,.269,.310,.714,0.404,0.135,46,5,0,6,11,69,25,5,41,184,171,22.3,2.7,26.9,0.404,ok
Chase DeLauter,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,3,800050,.294,.376,.879,0.503,0.210,42,10,1,6,17,72,26,20,16,165,143,9.7,12.1,29.4,0.503,ok
Jorge Soler,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,4,624585,.221,.318,.752,0.434,0.214,32,7,0,8,15,63,28,18,55,170,145,32.4,10.6,22.1,0.434,ok
Kyle Manzardo,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,4,700932,.203,.286,.574,0.288,0.085,24,4,0,2,6,34,13,12,41,133,118,30.8,9.0,20.3,0.288,ok
