player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Adolis García,adolis garcía,JOSE_BARRERO_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-180,espnbet,6,-209,espnbet:-180 | draftkings:-201 | caesars:-209 | fanduel:-220 | betmgm:-220 | bovada:-225,SportsGameOdds
Adrian Del Castillo,adrian del castillo,ADRIAN_DEL_CASTILLO_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-140,espnbet,6,-149,espnbet:-140 | draftkings:-148 | caesars:-148 | betmgm:-150 | bovada:-154 | fanduel:-155,SportsGameOdds
Alec Bohm,alec bohm,ALEC_BOHM_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-200,espnbet,6,-240,espnbet:-200 | caesars:-235 | betmgm:-235 | draftkings:-243 | fanduel:-260 | bovada:-265,SportsGameOdds
Alec Burleson,alec burleson,ALEC_BURLESON_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-220,espnbet,12,-265,espnbet:-220 | betmgm:-220 | bovada:-233 | caesars:-240 | fanduel:-240 | draftkings:-241 | fanduel:-270 | bovada:-280 | betmgm:-295 | espnbet:-300 | draftkings:-315 | caesars:-325,SportsGameOdds
Alejandro Osuna,alejandro osuna,ALEJANDRO_OSUNA_1_MLB,TEXAS_RANGERS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-130,bovada,6,-135,bovada:-130 | fanduel:-130 | betmgm:-130 | caesars:-137 | espnbet:-140 | draftkings:-145,SportsGameOdds
Alex Bregman,alex bregman,ALEX_BREGMAN_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-220,espnbet,6,-230,espnbet:-220 | betmgm:-225 | fanduel:-230 | draftkings:-234 | caesars:-235 | bovada:-235,SportsGameOdds
Andrés Giménez,andrés giménez,ANDRES_GIMENEZ_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-140,espnbet,6,-167,espnbet:-140 | betmgm:-150 | caesars:-170 | draftkings:-173 | fanduel:-185 | bovada:-186,SportsGameOdds
Andrew Benintendi,andrew benintendi,ANDREW_BENINTENDI_1_MLB,CHICAGO_WHITE_SOX_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-145,draftkings,6,-158,draftkings:-145 | espnbet:-150 | betmgm:-155 | caesars:-157 | bovada:-170 | fanduel:-170,SportsGameOdds
Andrew Vaughn,andrew vaughn,ANDREW_VAUGHN_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-180,espnbet,9,-202,espnbet:-180 | fanduel:-185 | bovada:-192 | espnbet:-200 | betmgm:-200 | caesars:-209 | fanduel:-210 | bovada:-213 | draftkings:-233,SportsGameOdds
Andy Pages,andy pages,ANDY_PAGES_1_MLB,LOS_ANGELES_DODGERS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-175,betmgm,6,-200,betmgm:-175 | espnbet:-180 | caesars:-197 | draftkings:-205 | fanduel:-220 | bovada:-225,SportsGameOdds
