season,team_id,team,abbreviation,league,division,innings_pitched,era,whip,hits,runs,earned_runs,home_runs,walks,strikeouts,hr_per_9,bb_per_9,k_per_9,hits_per_9,runs_per_9,bullpen_attack_score,bullpen_quality_grade
2026,117,Houston Astros,HOU,American League,American League West,375.1,5.61,1.59,378,243,234,57,217,374,1.37,5.20,8.97,9.06,5.83,79.19,ATTACK
2026,120,Washington Nationals,WSH,National League,National League East,377.0,4.77,1.42,375,234,200,59,161,318,1.41,3.84,7.59,8.95,5.59,69.05,LIVE
2026,115,Colorado Rockies,COL,National League,National League West,370.1,4.81,1.42,388,213,198,59,139,317,1.43,3.38,7.70,9.43,5.18,68.98,LIVE
2026,113,Cincinnati Reds,CIN,National League,National League Central,375.1,4.65,1.48,361,207,194,53,195,322,1.27,4.68,7.72,8.66,4.96,68.81,LIVE
2026,133,Athletics,ATH,American League,American League West,365.2,4.45,1.44,350,188,181,50,178,330,1.23,4.38,8.12,8.61,4.63,63.82,NEUTRAL
2026,110,Baltimore Orioles,BAL,American League,American League East,389.1,4.60,1.43,391,230,199,52,166,365,1.20,3.84,8.44,9.04,5.32,62.48,NEUTRAL
2026,108,Los Angeles Angels,LAA,American League,American League West,385.1,4.55,1.43,351,215,195,41,200,373,0.96,4.67,8.71,8.20,5.02,58.06,NEUTRAL
2026,109,Arizona Diamondbacks,AZ,National League,National League West,361.1,4.46,1.30,335,198,179,48,135,305,1.20,3.36,7.60,8.34,4.93,57.64,NEUTRAL
2026,138,St. Louis Cardinals,STL,National League,National League Central,369.1,4.24,1.36,348,187,174,43,156,298,1.05,3.80,7.26,8.48,4.56,57.24,NEUTRAL
2026,118,Kansas City Royals,KC,American League,American League Central,372.1,4.33,1.36,326,189,179,47,182,358,1.14,4.40,8.65,7.88,4.57,56.83,NEUTRAL
2026,145,Chicago White Sox,CWS,American League,American League Central,363.2,4.26,1.36,329,190,172,44,167,327,1.09,4.13,8.09,8.14,4.70,56.51,NEUTRAL
2026,142,Minnesota Twins,MIN,American League,American League Central,369.0,4.51,1.36,347,206,185,39,154,317,0.95,3.76,7.73,8.46,5.02,56.08,NEUTRAL
2026,143,Philadelphia Phillies,PHI,National League,National League East,375.1,4.46,1.40,399,203,186,41,127,401,0.98,3.05,9.62,9.57,4.87,52.60,NEUTRAL
2026,111,Boston Red Sox,BOS,American League,American League East,362.1,3.95,1.28,330,170,159,48,134,327,1.19,3.33,8.12,8.20,4.22,51.90,NEUTRAL
2026,137,San Francisco Giants,SF,National League,National League West,375.1,3.98,1.33,334,183,166,42,164,338,1.01,3.93,8.10,8.01,4.39,51.48,NEUTRAL
2026,141,Toronto Blue Jays,TOR,American League,American League East,371.2,4.19,1.30,356,191,173,43,129,374,1.04,3.12,9.06,8.62,4.63,49.25,NEUTRAL
2026,112,Chicago Cubs,CHC,National League,National League Central,374.0,3.85,1.21,320,173,160,52,131,342,1.25,3.15,8.23,7.70,4.16,48.91,NEUTRAL
2026,114,Cleveland Guardians,CLE,American League,American League Central,397.1,3.81,1.27,352,183,168,53,153,420,1.20,3.47,9.51,7.97,4.15,47.50,RESPECT
2026,116,Detroit Tigers,DET,American League,American League Central,363.0,3.99,1.33,336,181,161,34,148,350,0.84,3.67,8.68,8.33,4.49,47.02,RESPECT
2026,146,Miami Marlins,MIA,National League,National League East,369.2,4.04,1.26,309,182,166,34,157,349,0.83,3.82,8.50,7.52,4.43,44.87,RESPECT
2026,135,San Diego Padres,SD,National League,National League West,366.0,4.13,1.24,323,173,168,36,132,359,0.89,3.25,8.83,7.94,4.25,44.29,RESPECT
2026,140,Texas Rangers,TEX,American League,American League West,367.2,3.60,1.21,314,157,147,45,132,358,1.10,3.23,8.76,7.69,3.84,43.41,RESPECT
2026,136,Seattle Mariners,SEA,American League,American League West,382.1,3.67,1.22,362,168,156,43,105,370,1.01,2.47,8.71,8.52,3.95,41.88,RESPECT
2026,121,New York Mets,NYM,National League,National League East,367.0,3.80,1.26,321,172,155,35,143,387,0.86,3.51,9.49,7.87,4.22,41.04,RESPECT
2026,139,Tampa Bay Rays,TB,American League,American League East,369.1,3.48,1.15,300,162,143,42,126,324,1.02,3.07,7.90,7.31,3.95,40.66,RESPECT
2026,134,Pittsburgh Pirates,PIT,National League,National League Central,382.2,3.67,1.22,314,176,156,32,151,378,0.75,3.55,8.89,7.39,4.14,37.95,RESPECT
2026,158,Milwaukee Brewers,MIL,National League,National League Central,347.1,3.45,1.24,289,145,133,31,143,379,0.80,3.71,9.82,7.49,3.76,36.23,RESPECT
2026,119,Los Angeles Dodgers,LAD,National League,National League West,370.0,3.48,1.14,302,149,143,40,120,374,0.97,2.92,9.10,7.35,3.62,36.23,RESPECT
2026,144,Atlanta Braves,ATL,National League,National League East,373.0,3.11,1.15,281,143,129,42,147,368,1.01,3.55,8.88,6.78,3.45,35.99,RESPECT
2026,147,New York Yankees,NYY,American League,American League East,389.0,3.22,1.15,316,154,139,35,133,384,0.81,3.08,8.88,7.31,3.56,32.64,AVOID
