player,team,opponent,game,pitcher,lineup,odds,book,batter_power_score,environment_score,pitcher_collapse_score,vegas_total,weather_boost,correlation_score,correlation_tier,same_game_stack_flag,negative_correlation_flag
Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,DraftKings,39.44,45.60,77.40,,,52.88,NEUTRAL,NO,NO
Moisés Ballesteros,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,FanDuel,39.02,44.94,77.02,,,52.46,NEUTRAL,NO,NO
Otto Lopez,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,BetMGM,42.20,34.00,81.99,,,52.23,NEUTRAL,NO,NO
Seiya Suzuki,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,BetMGM,39.53,44.37,75.70,,,52.12,NEUTRAL,NO,NO
Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,,,DraftKings,38.26,45.52,75.47,,,51.90,NEUTRAL,NO,NO
Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,BetMGM,38.62,44.30,76.10,,,51.90,NEUTRAL,NO,NO
James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,,,DraftKings,43.75,34.00,78.75,,,51.86,NEUTRAL,NO,NO
Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,DraftKings,38.40,44.35,75.68,,,51.72,NEUTRAL,NO,NO
Liam Hicks,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,BetMGM,41.92,34.00,80.43,,,51.69,NEUTRAL,NO,NO
Kyle Stowers,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,BetMGM,40.90,34.00,81.57,,,51.66,NEUTRAL,NO,NO
Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,,,DraftKings,38.63,45.05,74.48,,,51.64,NEUTRAL,NO,NO
Xavier Edwards,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,Caesars,41.68,34.00,80.35,,,51.59,NEUTRAL,NO,NO
Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,,,DraftKings,43.66,34.00,77.70,,,51.54,NEUTRAL,NO,NO
Michael Busch,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,DraftKings,38.22,44.04,75.50,,,51.53,NEUTRAL,NO,NO
Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,,,FanDuel,41.17,34.00,80.71,,,51.51,NEUTRAL,NO,NO
Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,,,DraftKings,38.67,44.83,74.05,,,51.47,NEUTRAL,NO,NO
Owen Caissie,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,BetMGM,40.65,34.00,81.19,,,51.46,NEUTRAL,NO,NO
Heriberto Hernández,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,DraftKings,40.79,34.00,80.87,,,51.42,NEUTRAL,NO,NO
Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,,,FanDuel,40.75,34.00,80.75,,,51.37,NEUTRAL,NO,NO
Connor Norby,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,,,BetMGM,40.41,34.00,81.05,,,51.34,NEUTRAL,NO,NO
Carson Kelly,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,,,DraftKings,38.40,43.61,74.54,,,51.21,NEUTRAL,NO,NO
