rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
1,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,Nick Lodolo,,362,DraftKings,89,SLIP LAB ELITE,HIGH,4,MASTER|MATCHUP|SPLITS|PITCH|CONTACT,88.4,ELITE,74.1,PLUS,83.2,ATTACK,83,ATTACK,92,57.5,50,83,62,27.6,61.2,Sinker,24.4,Sinker,Sinker,99,43,Multi-layer agreement
2,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,Matthew Liberatore,,240,BetMGM,80.7,STRONG PLAY,HIGH,3,MASTER|SPLITS|PITCH,84.4,STRONG,69.4,PLUS,76.8,ATTACK,81.4,ATTACK,79.7,53.3,50,87,58,17.1,48.7,4-Seam Fastball,32.4,4-Seam Fastball,4-Seam Fastball,79.2,62,Strong layered support
3,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,474,DraftKings,80.6,STRONG PLAY,HIGH,4,MASTER|MATCHUP|SPLITS|CONTACT,85.2,ELITE,72.3,PLUS,79.9,ATTACK,73.6,PLUS,86.2,57.2,50,76.6,74,22.2,54,Cutter,21.8,4-Seam Fastball,Sinker,87.2,62,Multi-layer agreement
4,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,490,FanDuel,80.2,STRONG PLAY,HIGH,4,MASTER|SPLITS|CONTACT,83.4,STRONG,70.4,PLUS,79.2,ATTACK,76.8,PLUS,80,48.6,50,75.4,74,18,46.2,Slider,17,Slider,4-Seam Fastball,96,50,Strong layered support
5,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,Matthew Liberatore,,333,BetMGM,79.8,STRONG PLAY,HIGH,3,MASTER|PITCH|CONTACT,82.8,STRONG,69.9,PLUS,74.8,PLUS,80.7,ATTACK,83.9,53.3,50,83,62,15.4,59.3,4-Seam Fastball,32.4,Slider,4-Seam Fastball,79.2,43,Strong layered support
6,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,Jake Irvin,,390,FanDuel,78.9,STRONG PLAY,MEDIUM,3,MASTER|SPLITS|PITCH|CONTACT,82.1,STRONG,65.9,PLUS,75.3,ATTACK,80.7,ATTACK,81.7,57.4,50,83,62,15.8,55.3,4-Seam Fastball,23.4,4-Seam Fastball,4-Seam Fastball,59.7,62,Multi-layer agreement
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,398,DraftKings,76.1,STRONG PLAY,MEDIUM,3,PITCH,79.8,STRONG,67.9,PLUS,73.8,PLUS,78.7,PLUS,79.5,53.8,50,83,62,15.5,53.4,4-Seam Fastball,30.4,4-Seam Fastball,4-Seam Fastball,76.7,50,Thin profile
8,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,400,BetMGM,76.1,STRONG PLAY,MEDIUM,3,PITCH|CONTACT,78.7,STRONG,68.2,PLUS,74.4,PLUS,79.2,PLUS,91.6,49.3,50,83,62,19.8,60.7,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,43,Playable with selectivity
9,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,430,DraftKings,75.8,PLAYABLE,MEDIUM,3,SPLITS,79.3,STRONG,68.2,PLUS,78,ATTACK,75.1,PLUS,76.5,50.3,50,78,64,18.3,41.9,Curveball,25.7,Cutter,Changeup,92.5,58,Thin profile
10,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,441,DraftKings,75.7,PLAYABLE,MEDIUM,3,PITCH,78.2,STRONG,65.9,PLUS,74.7,PLUS,81,ATTACK,75,51.4,50,78,64,16,46.2,4-Seam Fastball,61,4-Seam Fastball,4-Seam Fastball,77.5,62,Thin profile
