player,player_key,team,team_key,game,game_key,market,line,odds,book,consensus_odds,trusted_books_count,trusted_books,raw_books_seen,removed_outliers,odds_quality,source_file
Shea Langeliers,shea langeliers,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,240,BetMGM,230,4,BetMGM:+240 | FanDuel:+235 | Caesars:+225 | DraftKings:+220,BetMGM:+240 | FanDuel:+235 | Caesars:+225 | DraftKings:+220,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Kyle Schwarber,kyle schwarber,Philadelphia Phillies,philadelphia phillies,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,250,BetMGM,239,4,BetMGM:+250 | DraftKings:+242 | FanDuel:+235 | Caesars:+235,BetMGM:+250 | DraftKings:+242 | FanDuel:+235 | Caesars:+235 | BetMGM:+250,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Brent Rooker,brent rooker,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,310,BetMGM,250,4,BetMGM:+310 | Caesars:+255 | FanDuel:+245 | DraftKings:+235,BetMGM:+310 | Caesars:+255 | FanDuel:+245 | DraftKings:+235 | BetMGM:+310,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Yordan Alvarez,yordan alvarez,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,285,FanDuel,263,4,FanDuel:+285 | DraftKings:+280 | Caesars:+245 | BetMGM:+220,FanDuel:+285 | DraftKings:+280 | Caesars:+245 | BetMGM:+220 | FanDuel:+285,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Munetaka Murakami,munetaka murakami,Chicago White Sox,chicago white sox,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,293,DraftKings,273,4,DraftKings:+293 | FanDuel:+290 | Caesars:+255 | BetMGM:+230,DraftKings:+293 | FanDuel:+290 | Caesars:+255 | BetMGM:+230 | DraftKings:+293,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Cal Raleigh,cal raleigh,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,310,FanDuel,284,4,FanDuel:+310 | DraftKings:+288 | Caesars:+280 | BetMGM:+240,FanDuel:+310 | DraftKings:+288 | Caesars:+280 | BetMGM:+240 | FanDuel:+310,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Elly De La Cruz,elly de la cruz,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,310,BetMGM,295,4,BetMGM:+310 | DraftKings:+300 | Caesars:+290 | FanDuel:+290,BetMGM:+310 | DraftKings:+300 | Caesars:+290 | FanDuel:+290,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Will Benson,will benson,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,323,DraftKings,310,4,DraftKings:+323 | BetMGM:+310 | FanDuel:+310 | Caesars:+305,DraftKings:+323 | BetMGM:+310 | FanDuel:+310 | Caesars:+305,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Max Muncy,max muncy,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,320,FanDuel,312,4,FanDuel:+320 | DraftKings:+313 | BetMGM:+310 | Caesars:+305,FanDuel:+320 | DraftKings:+313 | BetMGM:+310 | Caesars:+305 | FanDuel:+320,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Nick Kurtz,nick kurtz,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,333,BetMGM,320,4,BetMGM:+333 | FanDuel:+320 | Caesars:+320 | DraftKings:+307,BetMGM:+333 | FanDuel:+320 | Caesars:+320 | DraftKings:+307 | BetMGM:+333,1,CLEANED_CONSENSUS,sgo_best_lines.csv
