stack_id,game,stack_size,stack_type,players,teams,pitcher,odds,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,avg_vegas_total,avg_weather_boost,lineup_correlation_bonus,same_team_bonus,environment_bonus,stack_score,stack_grade,payout_profile
Miami Marlins @ Minnesota Twins | 2 MAN | Otto Lopez + Kyle Stowers,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers,51.97,34.00,81.90,41.55,,,2.00,7.00,0.00,55.96,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Otto Lopez + Liam Hicks,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks,51.99,34.00,81.33,42.06,,,2.00,7.00,0.00,55.92,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Otto Lopez + Owen Caissie,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie,51.88,34.00,81.71,41.42,,,2.00,7.00,0.00,55.87,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Otto Lopez + Xavier Edwards,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Otto Lopez + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Xavier Edwards,51.93,34.00,81.25,41.94,,,2.00,7.00,0.00,55.87,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Liam Hicks,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks,51.90,34.00,81.49,41.67,,,2.00,7.00,0.00,55.87,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Owen Caissie,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie,51.83,34.00,81.74,41.25,,,2.00,7.00,0.00,55.84,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Xavier Edwards,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Xavier Edwards,51.86,34.00,81.44,41.59,,,2.00,7.00,0.00,55.84,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Owen Caissie,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Owen Caissie,51.84,34.00,81.36,41.59,,,2.00,7.00,0.00,55.82,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Otto Lopez + Heriberto Hernández,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Otto Lopez + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Heriberto Hernández,51.83,34.00,81.43,41.50,,,2.00,7.00,0.00,55.81,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Xavier Edwards,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Xavier Edwards,51.87,34.00,81.06,41.93,,,2.00,7.00,0.00,55.81,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Heriberto Hernández,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Heriberto Hernández,51.79,34.00,81.56,41.30,,,2.00,7.00,0.00,55.80,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Owen Caissie,51.81,34.00,81.48,41.42,,,2.00,7.00,0.00,55.80,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Xavier Edwards,51.83,34.00,81.25,41.67,,,2.00,7.00,0.00,55.80,DEEP_ONLY,NO_ODDS
