name,team,game,lineup_spot,commence_time,game_pk,side,status,confirmed
Trent Grisham,New York Yankees,New York Yankees @ Baltimore Orioles,1,2026-05-13T17:05:00Z,824841,away,Final,yes
Taylor Ward,Baltimore Orioles,New York Yankees @ Baltimore Orioles,1,2026-05-13T17:05:00Z,824841,home,Final,yes
Ben Rice,New York Yankees,New York Yankees @ Baltimore Orioles,2,2026-05-13T17:05:00Z,824841,away,Final,yes
Gunnar Henderson,Baltimore Orioles,New York Yankees @ Baltimore Orioles,2,2026-05-13T17:05:00Z,824841,home,Final,yes
Aaron Judge,New York Yankees,New York Yankees @ Baltimore Orioles,3,2026-05-13T17:05:00Z,824841,away,Final,yes
Adley Rutschman,Baltimore Orioles,New York Yankees @ Baltimore Orioles,3,2026-05-13T17:05:00Z,824841,home,Final,yes
Cody Bellinger,New York Yankees,New York Yankees @ Baltimore Orioles,4,2026-05-13T17:05:00Z,824841,away,Final,yes
Pete Alonso,Baltimore Orioles,New York Yankees @ Baltimore Orioles,4,2026-05-13T17:05:00Z,824841,home,Final,yes
Jazz Chisholm Jr.,New York Yankees,New York Yankees @ Baltimore Orioles,5,2026-05-13T17:05:00Z,824841,away,Final,yes
Tyler O'Neill,Baltimore Orioles,New York Yankees @ Baltimore Orioles,5,2026-05-13T17:05:00Z,824841,home,Final,yes
Ryan McMahon,New York Yankees,New York Yankees @ Baltimore Orioles,6,2026-05-13T17:05:00Z,824841,away,Final,yes
Leody Taveras,Baltimore Orioles,New York Yankees @ Baltimore Orioles,6,2026-05-13T17:05:00Z,824841,home,Final,yes
Spencer Jones,New York Yankees,New York Yankees @ Baltimore Orioles,7,2026-05-13T17:05:00Z,824841,away,Final,yes
Coby Mayo,Baltimore Orioles,New York Yankees @ Baltimore Orioles,7,2026-05-13T17:05:00Z,824841,home,Final,yes
Anthony Volpe,New York Yankees,New York Yankees @ Baltimore Orioles,8,2026-05-13T17:05:00Z,824841,away,Final,yes
Weston Wilson,Baltimore Orioles,New York Yankees @ Baltimore Orioles,8,2026-05-13T17:05:00Z,824841,home,Final,yes
J.C. Escarra,New York Yankees,New York Yankees @ Baltimore Orioles,9,2026-05-13T17:05:00Z,824841,away,Final,yes
Blaze Alexander,Baltimore Orioles,New York Yankees @ Baltimore Orioles,9,2026-05-13T17:05:00Z,824841,home,Final,yes
Vaughn Grissom,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,1,2026-05-13T17:10:00Z,824438,away,Final,yes
Angel Martínez,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,1,2026-05-13T17:10:00Z,824438,home,Final,yes
Mike Trout,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,2,2026-05-13T17:10:00Z,824438,away,Final,yes
José Ramírez,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,2,2026-05-13T17:10:00Z,824438,home,Final,yes
Jo Adell,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,3,2026-05-13T17:10:00Z,824438,away,Final,yes
Chase DeLauter,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,3,2026-05-13T17:10:00Z,824438,home,Final,yes
Jorge Soler,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,4,2026-05-13T17:10:00Z,824438,away,Final,yes
Kyle Manzardo,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,4,2026-05-13T17:10:00Z,824438,home,Final,yes
Rhys Hoskins,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,4,2026-05-13T17:10:00Z,824438,home,Final,yes
Oswald Peraza,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,5,2026-05-13T17:10:00Z,824438,away,Final,yes
Petey Halpin,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,5,2026-05-13T17:10:00Z,824438,home,Final,yes
David Fry,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,5,2026-05-13T17:10:00Z,824438,home,Final,yes
Zach Neto,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,6,2026-05-13T17:10:00Z,824438,away,Final,yes
Travis Bazzana,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,6,2026-05-13T17:10:00Z,824438,home,Final,yes
Yoán Moncada,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,7,2026-05-13T17:10:00Z,824438,away,Final,yes
Daniel Schneemann,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,7,2026-05-13T17:10:00Z,824438,home,Final,yes
Adam Frazier,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,2026-05-13T17:10:00Z,824438,away,Final,yes
Omar Martinez,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,2026-05-13T17:10:00Z,824438,away,Final,yes
Sebastián Rivero,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,2026-05-13T17:10:00Z,824438,away,Final,yes
Austin Hedges,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,8,2026-05-13T17:10:00Z,824438,home,Final,yes
Bryce Teodosio,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,9,2026-05-13T17:10:00Z,824438,away,Final,yes
Brayan Rocchio,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,9,2026-05-13T17:10:00Z,824438,home,Final,yes
Edouard Julien,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,1,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Oneil Cruz,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,1,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Mickey Moniak,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,2,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Konnor Griffin,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,2,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Tyler Freeman,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,3,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,3,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
TJ Rumfield,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,4,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Marcell Ozuna,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,4,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Troy Johnston,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,5,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,5,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Kyle Karros,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,6,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Nick Gonzales,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,6,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Jake McCarthy,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,7,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Brandon Lowe,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,7,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Ezequiel Tovar,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,8,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Jared Triolo,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,8,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Brett Sullivan,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,9,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Henry Davis,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,9,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
James Wood,Washington Nationals,Washington Nationals @ Cincinnati Reds,1,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Will Benson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,1,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
