game,status,start,detailed_state,abstract_state
Philadelphia Phillies @ Pittsburgh Pirates,UPCOMING,2026-05-15T22:40:00Z,Scheduled,Preview
Baltimore Orioles @ Washington Nationals,UPCOMING,2026-05-15T22:45:00Z,Scheduled,Preview
Toronto Blue Jays @ Detroit Tigers,UPCOMING,2026-05-15T22:45:00Z,Scheduled,Preview
Cincinnati Reds @ Cleveland Guardians,UPCOMING,2026-05-15T23:10:00Z,Scheduled,Preview
Miami Marlins @ Tampa Bay Rays,UPCOMING,2026-05-15T23:10:00Z,Scheduled,Preview
Milwaukee Brewers @ Minnesota Twins,UPCOMING,2026-05-15T23:10:00Z,Scheduled,Preview
Boston Red Sox @ Atlanta Braves,UPCOMING,2026-05-15T23:15:00Z,Scheduled,Preview
New York Yankees @ New York Mets,UPCOMING,2026-05-15T23:15:00Z,Scheduled,Preview
Chicago Cubs @ Chicago White Sox,UPCOMING,2026-05-15T23:40:00Z,Scheduled,Preview
Texas Rangers @ Houston Astros,UPCOMING,2026-05-16T00:10:00Z,Scheduled,Preview
Kansas City Royals @ St. Louis Cardinals,UPCOMING,2026-05-16T00:15:00Z,Scheduled,Preview
Arizona Diamondbacks @ Colorado Rockies,UPCOMING,2026-05-16T00:40:00Z,Scheduled,Preview
Los Angeles Dodgers @ Los Angeles Angels,UPCOMING,2026-05-16T01:38:00Z,Scheduled,Preview
San Diego Padres @ Seattle Mariners,UPCOMING,2026-05-16T01:40:00Z,Scheduled,Preview
San Francisco Giants @ Athletics,UPCOMING,2026-05-16T01:40:00Z,Scheduled,Preview
