rank,name,team,opponent,game,pitcher,odds,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,hitter_pitch_sample,pitcher_pitch_sample,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,direct_overlap_score,arsenal_pressure_score,pitch_type_score,contact_score,handedness_split_score,market_score,per_pitch_score,per_pitch_grade,split_engine_score,matchup_intel_score,master_score,master_tier
1,Max Muncy,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,320,4-Seam Fastball,52.4,100,100,282,292,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,96,63.7,93.6,87.6,62,83,85.8,ATTACK,74.4,61.7,76.6,STRONG
2,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,362,Sinker,24.4,100,100,299,78,Sinker,100,Sinker,100,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,92.8,56.9,90.5,92,62,83,84.9,ATTACK,85.3,71.7,88.4,ELITE
3,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,333,4-Seam Fastball,32.4,100,100,285,241,Slider,100,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,89.6,59.1,90.7,83.9,62,83,82.6,ATTACK,76.7,68.4,82.8,STRONG
4,Juan Soto,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,470,Sinker,39.9,100,100,261,248,Sinker,100,Sinker,100,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,96,61.1,97.8,81,62,76.9,81.6,ATTACK,67.7,63.3,77.5,STRONG
5,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,400,4-Seam Fastball,28.2,100,86.2,306,245,4-Seam Fastball,100,Slurve,100,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,85.9,57.6,79.8,91.6,62,83,81.1,ATTACK,74.6,66.8,78.7,STRONG
6,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,441,4-Seam Fastball,61,100,100,277,277,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,96,66.7,94.6,75,62,78,81,ATTACK,74.5,64.8,78.2,STRONG
7,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,390,4-Seam Fastball,23.4,100,100,198,278,4-Seam Fastball,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,96,57.8,89,81.7,62,83,80.7,ATTACK,74,63.2,82.1,STRONG
8,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,240,4-Seam Fastball,32.4,100,100,196,241,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,96,59.8,91.2,79.7,50,87,80.2,ATTACK,73.1,68,84.4,STRONG
9,Kyle Schwarber,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,250,Cutter,30,100,96.1,359,70,Splitter,100,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,84.1,55.6,87.3,83,62,87,80,ATTACK,68,61.8,76.7,STRONG
10,Michael Harris II,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,590,4-Seam Fastball,34.6,100,100,189,286,Splitter,100,4-Seam Fastball,100,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,89.6,61.1,89.1,87.6,43,64.2,79.1,PLUS,63.2,51.7,68.9,GOOD
11,Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,407,4-Seam Fastball,39.7,100,100,206,282,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,96,63.3,91.2,78.1,50,78,78.8,PLUS,66.4,54,67.2,GOOD
12,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,398,4-Seam Fastball,30.4,100,100,300,135,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,96,59.5,85.4,79.5,50,83,78.7,PLUS,65.7,65.5,79.8,STRONG
13,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,293,Curveball,14.9,100,97,292,302,Curveball,100,Cutter,100,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,80.7,56.2,84.2,94.1,62,87,78.5,PLUS,68.1,63.6,77,STRONG
