name,team,opponent,pitcher,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,matchup_note
Harrison Bader,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,100.00,ELITE MATCHUP,4-Seam Fastball,47.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,20,268,Harrison Bader profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball | Direct pitch type overlap
Liam Hicks,Miami Marlins,Minnesota Twins,Simeon Woods Richardson,99.38,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,Split-Finger,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,187,228,Liam Hicks profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider
Juan Soto,New York Mets,Detroit Tigers,Framber Valdez,97.80,ELITE MATCHUP,Sinker,39.9,100.0,100.0,Sinker,100.0,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,261,248,Juan Soto profiles best against Sinker | Framber Valdez grades weakest on Sinker | Direct pitch type overlap
Byron Buxton,Minnesota Twins,Miami Marlins,Max Meyer,97.03,ELITE MATCHUP,Sweeper,29.9,100.0,100.0,4-Seam Fastball,100.0,Sweeper,100.0,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,288,254,Byron Buxton profiles best against Sweeper | Max Meyer grades weakest on Sweeper
Jakob Marsee,Miami Marlins,Minnesota Twins,Simeon Woods Richardson,96.11,ELITE MATCHUP,Split-Finger,28.5,100.0,100.0,Split-Finger,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,250,228,Jakob Marsee profiles best against Split-Finger | Simeon Woods Richardson grades weakest on Slider
Marcelo Mayer,Boston Red Sox,Philadelphia Phillies,Andrew Painter,94.98,ELITE MATCHUP,4-Seam Fastball,39.2,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,181,283,Marcelo Mayer profiles best against 4-Seam Fastball | Andrew Painter grades weakest on 4-Seam Fastball | Direct pitch type overlap
Josh Jung,Texas Rangers,Arizona Diamondbacks,Ryne Nelson,94.96,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,237,277,Josh Jung profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap
Mark Vientos,New York Mets,Detroit Tigers,Framber Valdez,94.79,ELITE MATCHUP,Sinker,39.9,100.0,100.0,Slider,100.0,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,208,248,Mark Vientos profiles best against Sinker | Framber Valdez grades weakest on Sinker
Corey Seager,Texas Rangers,Arizona Diamondbacks,Ryne Nelson,94.57,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,277,277,Corey Seager profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap
Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Andrew Painter,94.48,ELITE MATCHUP,4-Seam Fastball,39.2,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,294,283,Wilyer Abreu profiles best against 4-Seam Fastball | Andrew Painter grades weakest on 4-Seam Fastball | Direct pitch type overlap
