rank,name,team,opponent,game,batter_hand,pitcher,pitcher_hand,odds,barrel_rate,hard_hit_rate,pitcher_hr9,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_k9,pitcher_bb9,pitcher_attack_score,batter_power_score,pitcher_vulnerability_score,handedness_split_score,pitch_type_score,environment_score,contact_score,split_engine_score,split_grade,matchup_intel_score,matchup_grade,master_score,master_tier
1,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,L,Nick Lodolo,,362,27.6,61.2,3.38,6.75,,,,,77.2,99,95.3,50,90.5,35,92,81.2,ATTACK,70,PLUS,88.4,ELITE
2,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,S,JR Ritchie,R,430,18.3,41.9,2.08,3.63,1.50,6.63,6.75,6.23,78.2,83.2,92.5,58,89.1,50.3,76.5,78,ATTACK,68.2,PLUS,79.3,STRONG
3,Moisés Ballesteros,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,L,JR Ritchie,R,610,13.4,48.8,2.08,3.63,1.50,6.63,6.75,6.23,78.2,74.8,92.5,62,92.1,50.3,70.5,76.4,ATTACK,64.3,NEUTRAL,74.2,GOOD
4,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,R,Andrew Painter,,490,18,46.2,1.65,6.89,,,,,86.7,95.4,83.3,50,89.9,35,80,76.1,ATTACK,68,PLUS,83.4,STRONG
5,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,441,16,46.2,1.89,5.68,1.26,4.83,8.29,3.32,69.3,80.4,77.5,62,94.6,51.4,75,74.7,PLUS,65.9,PLUS,78.2,STRONG
6,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,474,22.2,54,1.32,7.41,,,,,80.6,99,78.3,50,71.2,35,86.2,74,PLUS,68.3,PLUS,85.2,ELITE
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,R,Griffin Jax,R,398,15.5,53.4,1.5,5,1.44,5.39,8.50,5.00,67.8,88,76.7,50,85.4,53.8,79.5,73.8,PLUS,67.9,PLUS,79.8,STRONG
8,Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,S,Andrew Painter,,790,14.3,85.7,1.65,6.89,,,,,86.7,99,83.3,50,50,35,85.8,72.8,PLUS,65.6,PLUS,75.1,STRONG
9,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,R,Matthew Liberatore,,240,17.1,48.7,1.71,4.07,,,,,71.5,96.9,67.8,50,91.2,35,79.7,72.6,PLUS,66.1,PLUS,84.4,STRONG
10,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,L,Nick Lodolo,,543,12.2,41.7,3.38,6.75,,,,,77.2,74.2,95.3,50,92,35,61.9,72.6,PLUS,59.6,NEUTRAL,81.1,STRONG
