game,pitcher,pitcher_id,team,opponent,gs,ip,era,whip,xfip,teamSO,last3,k9,bb9,hr9,status
Washington Nationals @ Cincinnati Reds,Jake Irvin,663623,Washington Nationals,Cincinnati Reds,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,probable
Washington Nationals @ Cincinnati Reds,Nick Lodolo,666157,Cincinnati Reds,Washington Nationals,1,5.3,6.75,1.13,6.15,8.28,6.75,3.38,1.69,3.38,probable
Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,500779,Colorado Rockies,Pittsburgh Pirates,6,30.0,3.90,1.33,6.08,8.73,2.12,4.20,3.90,1.50,probable
Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,656605,Pittsburgh Pirates,Colorado Rockies,8,47.0,2.87,1.04,4.10,9.79,3.00,6.70,2.68,0.38,probable
Philadelphia Phillies @ Boston Red Sox,Andrew Painter,691725,Philadelphia Phillies,Boston Red Sox,6,32.7,6.89,1.71,5.29,8.44,10.05,8.27,3.31,1.65,probable
Philadelphia Phillies @ Boston Red Sox,Sonny Gray,543243,Boston Red Sox,Philadelphia Phillies,6,28.0,3.54,1.29,5.05,7.95,4.63,4.82,2.25,0.96,probable
Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,643377,Tampa Bay Rays,Toronto Blue Jays,3,18.0,5.00,1.44,5.39,6.98,2.00,8.50,5.00,1.50,probable
Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,656302,Toronto Blue Jays,Tampa Bay Rays,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,probable
Detroit Tigers @ New York Mets,Framber Valdez,664285,Detroit Tigers,New York Mets,8,43.3,4.57,1.41,4.84,7.88,7.43,7.27,3.12,1.04,probable
Detroit Tigers @ New York Mets,Christian Scott,681035,New York Mets,Detroit Tigers,3,11.0,3.27,1.18,3.95,8.39,3.27,12.27,5.73,0.82,probable
Chicago Cubs @ Atlanta Braves,Shota Imanaga,684007,Chicago Cubs,Atlanta Braves,8,47.3,2.28,0.93,3.12,7.69,2.45,10.08,2.47,0.76,probable
Chicago Cubs @ Atlanta Braves,JR Ritchie,702275,Atlanta Braves,Chicago Cubs,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,probable
Kansas City Royals @ Chicago White Sox,Seth Lugo,607625,Kansas City Royals,Chicago White Sox,8,47.7,3.21,1.36,4.25,9.30,7.16,7.93,3.21,0.19,probable
Kansas City Royals @ Chicago White Sox,Noah Schultz,702273,Chicago White Sox,Kansas City Royals,5,25.0,4.68,1.32,5.21,8.28,5.17,8.28,5.76,0.72,probable
Miami Marlins @ Minnesota Twins,Max Meyer,676974,Miami Marlins,Minnesota Twins,8,42.0,2.79,1.10,3.55,8.62,1.06,9.64,3.21,0.43,probable
Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,680573,Minnesota Twins,Miami Marlins,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,probable
San Diego Padres @ Milwaukee Brewers,Michael King,650633,San Diego Padres,Milwaukee Brewers,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,probable
San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,694819,Milwaukee Brewers,San Diego Padres,8,44.0,2.45,0.95,2.33,8.66,1.56,14.32,3.48,0.82,probable
Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,669194,Arizona Diamondbacks,Texas Rangers,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,probable
Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,677958,Texas Rangers,Arizona Diamondbacks,7,32.3,5.01,1.52,5.11,8.16,7.71,7.52,3.62,1.11,probable
Seattle Mariners @ Houston Astros,Bryce Miller,682243,Seattle Mariners,Houston Astros,0,0.0,0.00,0.00,3.59,7.91,0.00,0.00,0.00,0.00,probable
Seattle Mariners @ Houston Astros,Lance McCullers Jr.,621121,Houston Astros,Seattle Mariners,7,34.0,7.41,1.50,5.12,9.06,9.22,9.79,5.29,1.32,probable
St. Louis Cardinals @ Athletics,Matthew Liberatore,669461,St. Louis Cardinals,Athletics,8,42.0,4.07,1.43,5.58,8.57,4.80,6.21,3.43,1.71,probable
St. Louis Cardinals @ Athletics,J.T. Ginn,669372,Athletics,St. Louis Cardinals,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,probable
San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,592662,San Francisco Giants,Los Angeles Dodgers,8,45.7,2.76,1.09,4.28,7.85,2.60,9.26,3.55,1.58,probable
San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,660271,Los Angeles Dodgers,San Francisco Giants,6,37.0,0.97,0.81,2.71,8.11,1.42,10.22,2.19,0.49,probable
