name,team,mlbam,batter_hand,throws_hand,source
Adolis García,Philadelphia Phillies,666969,R,R,MLB_STATS_API
Adrian Del Castillo,Arizona Diamondbacks,680728,L,R,MLB_STATS_API
Alec Bohm,Philadelphia Phillies,664761,R,R,MLB_STATS_API
Alec Burleson,St. Louis Cardinals,676475,L,L,MLB_STATS_API
Alejandro Osuna,Texas Rangers,696030,L,L,MLB_STATS_API
Alex Bregman,Chicago Cubs,608324,R,R,MLB_STATS_API
Andrés Giménez,Toronto Blue Jays,665926,L,R,MLB_STATS_API
Andrew Benintendi,Chicago White Sox,643217,L,L,MLB_STATS_API
Andrew Vaughn,Milwaukee Brewers,683734,R,R,MLB_STATS_API
Andy Pages,Los Angeles Dodgers,681624,R,R,MLB_STATS_API
Austin Martin,Minnesota Twins,668885,R,R,MLB_STATS_API
Austin Riley,Atlanta Braves,663586,R,R,MLB_STATS_API
Ben Williamson,Tampa Bay Rays,810938,R,R,MLB_STATS_API
Billy Cook,Pittsburgh Pirates,695257,R,R,MLB_STATS_API
Bo Bichette,New York Mets,666182,R,R,MLB_STATS_API
Bobby Witt Jr.,Kansas City Royals,677951,R,R,MLB_STATS_API
Brady House,Washington Nationals,691781,R,R,MLB_STATS_API
Brandon Lowe,Pittsburgh Pirates,664040,L,R,MLB_STATS_API
Brandon Marsh,Philadelphia Phillies,669016,L,R,MLB_STATS_API
Brandon Nimmo,Texas Rangers,607043,L,R,MLB_STATS_API
Brendan Donovan,Seattle Mariners,680977,L,R,MLB_STATS_API
Brent Rooker,Athletics,667670,R,R,MLB_STATS_API
Brett Baty,New York Mets,683146,L,R,MLB_STATS_API
Brice Matthews,Houston Astros,694728,R,R,MLB_STATS_API
Brice Turang,Milwaukee Brewers,668930,L,R,MLB_STATS_API
Brooks Lee,Minnesota Twins,686797,S,R,MLB_STATS_API
Bryan Reynolds,Pittsburgh Pirates,668804,S,R,MLB_STATS_API
Bryce Harper,Philadelphia Phillies,547180,L,R,MLB_STATS_API
Bryson Stott,Philadelphia Phillies,681082,L,R,MLB_STATS_API
Byron Buxton,Minnesota Twins,621439,R,R,MLB_STATS_API
Cal Raleigh,Seattle Mariners,663728,S,R,MLB_STATS_API
Caleb Durbin,Boston Red Sox,702332,R,R,MLB_STATS_API
Cam Smith,Houston Astros,701358,R,R,MLB_STATS_API
Carlos Narváez,Boston Red Sox,665966,R,R,MLB_STATS_API
Carson Kelly,Chicago Cubs,608348,R,R,MLB_STATS_API
Carter Jensen,Kansas City Royals,695600,L,R,MLB_STATS_API
Casey Schmitt,San Francisco Giants,669477,R,R,MLB_STATS_API
Ceddanne Rafaela,Boston Red Sox,678882,R,R,MLB_STATS_API
Cedric Mullins,Tampa Bay Rays,656775,L,L,MLB_STATS_API
Cesar Prieto,St. Louis Cardinals,693409,L,R,MLB_STATS_API
César Salazar,Houston Astros,663967,L,R,MLB_STATS_API
Chandler Simpson,Tampa Bay Rays,802415,L,R,MLB_STATS_API
Chase Meidroth,Chicago White Sox,805367,R,R,MLB_STATS_API
Christian Walker,Houston Astros,572233,R,R,MLB_STATS_API
Christian Yelich,Milwaukee Brewers,592885,L,R,MLB_STATS_API
Christopher Morel,Miami Marlins,666624,R,R,MLB_STATS_API
