rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier,weather_humidity,weather_label,weather_roof_flag,weather_roof_status,live_slate_status
42,2026-05-13,2026,Carson Kelly,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,680,DraftKings,12.82,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Carson Kelly"",""player_key"":""carson kelly"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""680"",""book"":""DraftKings"",""consensus_odds"":""653"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+680 | FanDuel:+680 | Caesars:+625 | BetMGM:+600"",""raw_books_seen"":""DraftKings:+680 | FanDuel:+680 | Caesars:+625 | BetMGM:+600"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,80.51,STRONG,4-Seam Fastball,25.7,74.7,100.0,Sinker,88.8,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,170,249,Carson Kelly profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
43,2026-05-13,2026,Dansby Swanson,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,650,BetMGM,13.33,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Dansby Swanson"",""player_key"":""dansby swanson"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""519"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | DraftKings:+537 | Caesars:+500 | FanDuel:+490"",""raw_books_seen"":""BetMGM:+650 | DraftKings:+537 | Caesars:+500 | FanDuel:+490 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,83.43,ELITE MATCHUP,4-Seam Fastball,25.7,100.0,100.0,Sinker,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,231,249,Dansby Swanson profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
44,2026-05-13,2026,Moisés Ballesteros,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,610,FanDuel,14.08,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Moisés Ballesteros"",""player_key"":""moises ballesteros"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""610"",""book"":""FanDuel"",""consensus_odds"":""584"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+610 | DraftKings:+584 | Caesars:+575"",""raw_books_seen"":""FanDuel:+610 | DraftKings:+584 | Caesars:+575 | FanDuel:+610"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,92.06,ELITE MATCHUP,Curveball,25.7,100.0,100.0,Cutter,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,216,249,Moisés Ballesteros profiles best against Curveball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
45,2026-05-13,2026,Alex Bregman,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,576,DraftKings,14.79,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Alex Bregman"",""player_key"":""alex bregman"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""576"",""book"":""DraftKings"",""consensus_odds"":""520"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+576 | FanDuel:+540 | Caesars:+500 | BetMGM:+500"",""raw_books_seen"":""DraftKings:+576 | FanDuel:+540 | Caesars:+500 | BetMGM:+500 | DraftKings:+576"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,80.78,STRONG,4-Seam Fastball,25.7,85.4,100.0,Cutter,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,265,249,Alex Bregman profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
46,2026-05-13,2026,Pete Crow-Armstrong,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,550,DraftKings,15.38,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Pete Crow-Armstrong"",""player_key"":""pete crow armstrong"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""550"",""book"":""DraftKings"",""consensus_odds"":""535"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500"",""raw_books_seen"":""DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500 | DraftKings:+550"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,81.27,STRONG,4-Seam Fastball,25.7,100.0,100.0,4-Seam Fastball,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,231,249,Pete Crow-Armstrong profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
47,2026-05-13,2026,Michael Busch,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,450,DraftKings,18.18,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Michael Busch"",""player_key"":""michael busch"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""450"",""book"":""DraftKings"",""consensus_odds"":""423"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+450 | BetMGM:+425 | FanDuel:+420 | Caesars:+400"",""raw_books_seen"":""DraftKings:+450 | BetMGM:+425 | FanDuel:+420 | Caesars:+400"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,80.47,STRONG,4-Seam Fastball,25.7,100.0,100.0,Sinker,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,320,249,Michael Busch profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
48,2026-05-13,2026,Ian Happ,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,430,DraftKings,18.87,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Ian Happ"",""player_key"":""ian happ"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""430"",""book"":""DraftKings"",""consensus_odds"":""408"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+430 | BetMGM:+425 | Caesars:+390 | FanDuel:+390"",""raw_books_seen"":""DraftKings:+430 | BetMGM:+425 | Caesars:+390 | FanDuel:+390 | DraftKings:+430"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,89.08,ELITE MATCHUP,Curveball,25.7,100.0,100.0,Cutter,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,332,249,Ian Happ profiles best against Curveball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
49,2026-05-13,2026,Seiya Suzuki,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Pre-Game,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,425,BetMGM,19.05,30.53,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Seiya Suzuki"",""player_key"":""seiya suzuki"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""425"",""book"":""BetMGM"",""consensus_odds"":""412"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+425 | DraftKings:+413 | FanDuel:+410 | Caesars:+390"",""raw_books_seen"":""BetMGM:+425 | DraftKings:+413 | FanDuel:+410 | Caesars:+390"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,59.4,1.0,70,clear sky,Truist Park,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,7.5,0.0,MATCH,the_odds_api_totals,81.25,STRONG,4-Seam Fastball,25.7,100.0,100.0,4-Seam Fastball,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,297,249,Seiya Suzuki profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup,40.42,RESPECT,35.99,RESPECT,46.53,NORMAL,116,8.3,6,2,2,2,0,Raisel Iglesias 19 pitches 2 app | Didier Fuentes 36 pitches 1 app,3.11,1.15,1.01,8.88,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,100.00,0.00,55.00,78.23,58.00,25.00,50.00,52.00,30.53,LONGSHOT,55,Neutral,0,OPEN_AIR,NO_STATUS_MATCH
58,2026-05-13,2026,Ezequiel Duran,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,930,DraftKings,9.71,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Ezequiel Duran"",""player_key"":""ezequiel duran"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""930"",""book"":""DraftKings"",""consensus_odds"":""835"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+930 | FanDuel:+920 | Caesars:+750 | BetMGM:+725"",""raw_books_seen"":""DraftKings:+930 | FanDuel:+920 | Caesars:+750 | BetMGM:+725 | DraftKings:+930"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,80.8,12.7,170,clear sky,Globe Life Field,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,93.67,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,209,277,Ezequiel Duran profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT,57,Roof controlled,1,ROOF_OR_RETRACTABLE,NO_STATUS_MATCH
59,2026-05-13,2026,Evan Carter,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,770,DraftKings,11.49,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Evan Carter"",""player_key"":""evan carter"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""770"",""book"":""DraftKings"",""consensus_odds"":""653"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525"",""raw_books_seen"":""DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525 | DraftKings:+770"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,MATCH,80.8,12.7,170,clear sky,Globe Life Field,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,93.43,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,247,277,Evan Carter profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT,57,Roof controlled,1,ROOF_OR_RETRACTABLE,NO_STATUS_MATCH
