rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_game_key,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier
1,2026-05-13,2026,Daylen Lile,,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,away,0,Brady Singer,Nick Lodolo,Nick Lodolo,666157,L,Nick Lodolo,666157,Jake Irvin,663623,950,FanDuel,9.52,34.99,missing,,,,,,,Washington Nationals,Washington Nationals @ Cincinnati Reds,"{""player"":""Daylen Lile"",""player_key"":""daylen lile"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""FanDuel"",""consensus_odds"":""775"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+950 | DraftKings:+850 | Caesars:+700 | BetMGM:+525"",""raw_books_seen"":""FanDuel:+950 | DraftKings:+850 | Caesars:+700 | BetMGM:+525 | FanDuel:+950"",""removed_outliers"":""1"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cincinnati Reds,probable,9,42.0,5.79,1.67,5.86,8.29,7.62,6.00,2.36,2.36,90.77,ATTACK,90.77,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,,0.00,NO_MATCH,cincinnati reds vs washington nationals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,54.11,NEUTRAL,68.12,LIVE,34.77,FRESH,105,6.3,6,2,1,1,0,Sam Moll 30 pitches 2 app,4.60,1.48,1.25,7.71,Opponent bullpen NEUTRAL | Quality LIVE | Fatigue FRESH,100.00,0.00,55.00,90.77,78.00,50.00,50.00,52.00,34.99,LONGSHOT
2,2026-05-13,2026,Luis García Jr.,,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,away,0,Brady Singer,Nick Lodolo,Nick Lodolo,666157,L,Nick Lodolo,666157,Jake Irvin,663623,650,FanDuel,13.33,34.99,missing,,,,,,,Washington Nationals,Washington Nationals @ Cincinnati Reds,"{""player"":""Luis García Jr."",""player_key"":""luis garcia"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""FanDuel"",""consensus_odds"":""563"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+650 | DraftKings:+600 | Caesars:+525 | BetMGM:+400"",""raw_books_seen"":""FanDuel:+650 | DraftKings:+600 | Caesars:+525 | BetMGM:+400"",""removed_outliers"":""0"",""odds_quality"":""NORMAL_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cincinnati Reds,probable,9,42.0,5.79,1.67,5.86,8.29,7.62,6.00,2.36,2.36,90.77,ATTACK,90.77,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,,0.00,NO_MATCH,cincinnati reds vs washington nationals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,54.11,NEUTRAL,68.12,LIVE,34.77,FRESH,105,6.3,6,2,1,1,0,Sam Moll 30 pitches 2 app,4.60,1.48,1.25,7.71,Opponent bullpen NEUTRAL | Quality LIVE | Fatigue FRESH,100.00,0.00,55.00,90.77,78.00,50.00,50.00,52.00,34.99,LONGSHOT
3,2026-05-13,2026,James Wood,,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,away,0,Brady Singer,Nick Lodolo,Nick Lodolo,666157,L,Nick Lodolo,666157,Jake Irvin,663623,330,FanDuel,23.26,34.99,missing,,,,,,,Washington Nationals,Washington Nationals @ Cincinnati Reds,"{""player"":""James Wood"",""player_key"":""james wood"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""330"",""book"":""FanDuel"",""consensus_odds"":""303"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+330 | Caesars:+305 | DraftKings:+300 | BetMGM:+275"",""raw_books_seen"":""FanDuel:+330 | Caesars:+305 | DraftKings:+300 | BetMGM:+275 | FanDuel:+330"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cincinnati Reds,probable,9,42.0,5.79,1.67,5.86,8.29,7.62,6.00,2.36,2.36,90.77,ATTACK,90.77,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,,0.00,NO_MATCH,cincinnati reds vs washington nationals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,54.11,NEUTRAL,68.12,LIVE,34.77,FRESH,105,6.3,6,2,1,1,0,Sam Moll 30 pitches 2 app,4.60,1.48,1.25,7.71,Opponent bullpen NEUTRAL | Quality LIVE | Fatigue FRESH,100.00,0.00,55.00,90.77,78.00,50.00,50.00,52.00,34.99,LONGSHOT
4,2026-05-13,2026,Elly De La Cruz,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,home,1,Miles Mikolas,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,1000,FanDuel,9.09,33.31,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Elly De La Cruz"",""player_key"":""elly de la cruz"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""FanDuel"",""consensus_odds"":""950"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+1000 | Caesars:+950 | DraftKings:+900"",""raw_books_seen"":""FanDuel:+1000 | Caesars:+950 | DraftKings:+900 | BetMGM:+310 | FanDuel:+1000"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,6,36.0,7.00,1.53,5.94,9.21,4.26,6.00,3.25,2.25,86.20,ATTACK,86.20,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,,0.00,NO_MATCH,cincinnati reds vs washington nationals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,53.58,NEUTRAL,69.30,LIVE,31.88,FRESH,88,5.0,6,2,2,1,0,Paxton Schultz 8 pitches 2 app | Brad Lord 36 pitches 1 app,4.76,1.42,1.42,7.53,Opponent bullpen NEUTRAL | Quality LIVE | Fatigue FRESH,94.88,0.00,55.00,86.20,78.00,50.00,50.00,52.00,33.31,LONGSHOT
5,2026-05-13,2026,Fernando Tatis Jr.,,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,away,0,Brandon Sproat,Jacob Misiorowski,Jacob Misiorowski,694819,R,Jacob Misiorowski,694819,Michael King,650633,950,FanDuel,9.52,33.21,missing,,,,,,,San Diego Padres,San Diego Padres @ Milwaukee Brewers,"{""player"":""Fernando Tatis Jr."",""player_key"":""fernando tatis"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""FanDuel"",""consensus_odds"":""800"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+950 | DraftKings:+800 | Caesars:+750"",""raw_books_seen"":""FanDuel:+950 | DraftKings:+800 | Caesars:+750 | BetMGM:+425 | FanDuel:+950"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Milwaukee Brewers,probable,6,34.7,5.71,1.53,5.47,8.60,4.38,9.35,5.19,1.82,85.36,ATTACK,85.36,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,milwaukee brewers vs san diego padres,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,26.11,AVOID,36.32,RESPECT,12.00,FRESH,65,4.0,4,1,0,0,0,,3.44,1.25,0.79,9.78,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,85.36,65.00,50.00,50.00,52.00,33.21,LONGSHOT
6,2026-05-13,2026,Sung-Mun Song,,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,away,0,Brandon Sproat,Jacob Misiorowski,Jacob Misiorowski,694819,R,Jacob Misiorowski,694819,Michael King,650633,825,BetMGM,10.81,33.21,missing,,,,,,,San Diego Padres,San Diego Padres @ Milwaukee Brewers,"{""player"":""Sung-Mun Song"",""player_key"":""sung mun song"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""825"",""book"":""BetMGM"",""consensus_odds"":""715"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+825 | FanDuel:+730 | DraftKings:+700 | Caesars:+700"",""raw_books_seen"":""BetMGM:+825 | FanDuel:+730 | DraftKings:+700 | Caesars:+700"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Milwaukee Brewers,probable,6,34.7,5.71,1.53,5.47,8.60,4.38,9.35,5.19,1.82,85.36,ATTACK,85.36,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,milwaukee brewers vs san diego padres,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,26.11,AVOID,36.32,RESPECT,12.00,FRESH,65,4.0,4,1,0,0,0,,3.44,1.25,0.79,9.78,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,85.36,65.00,50.00,50.00,52.00,33.21,LONGSHOT
7,2026-05-13,2026,Jackson Merrill,,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,away,0,Brandon Sproat,Jacob Misiorowski,Jacob Misiorowski,694819,R,Jacob Misiorowski,694819,Michael King,650633,800,FanDuel,11.11,33.21,missing,,,,,,,San Diego Padres,San Diego Padres @ Milwaukee Brewers,"{""player"":""Jackson Merrill"",""player_key"":""jackson merrill"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""800"",""book"":""FanDuel"",""consensus_odds"":""700"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+800 | Caesars:+700 | DraftKings:+650"",""raw_books_seen"":""FanDuel:+800 | Caesars:+700 | DraftKings:+650 | BetMGM:+390 | FanDuel:+800"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Milwaukee Brewers,probable,6,34.7,5.71,1.53,5.47,8.60,4.38,9.35,5.19,1.82,85.36,ATTACK,85.36,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,milwaukee brewers vs san diego padres,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,26.11,AVOID,36.32,RESPECT,12.00,FRESH,65,4.0,4,1,0,0,0,,3.44,1.25,0.79,9.78,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,85.36,65.00,50.00,50.00,52.00,33.21,LONGSHOT
8,2026-05-13,2026,Mookie Betts,,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,home,1,Adrian Houser,Robbie Ray,Robbie Ray,592662,L,Robbie Ray,592662,Shohei Ohtani,660271,590,FanDuel,14.49,32.21,missing,,,,,,,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Mookie Betts"",""player_key"":""mookie betts"",""team"":""Los Angeles Dodgers"",""team_key"":""los angeles dodgers"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""590"",""book"":""FanDuel"",""consensus_odds"":""554"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+590 | DraftKings:+583 | Caesars:+525 | BetMGM:+525"",""raw_books_seen"":""FanDuel:+590 | DraftKings:+583 | Caesars:+525 | BetMGM:+525 | FanDuel:+590"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Francisco Giants,probable,7,36.3,6.19,1.54,5.91,7.84,7.36,4.71,2.72,1.73,85.89,ATTACK,85.89,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,55.54,NEUTRAL,51.94,NEUTRAL,60.50,WATCH,145,10.0,9,3,1,1,1,Keaton Winn 21 pitches 2 app,4.03,1.33,1.01,8.11,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue WATCH,100.00,0.00,55.00,85.89,52.00,50.00,50.00,52.00,32.21,LONGSHOT
9,2026-05-13,2026,Andy Pages,,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,home,1,Adrian Houser,Robbie Ray,Robbie Ray,592662,L,Robbie Ray,592662,Shohei Ohtani,660271,570,FanDuel,14.93,32.21,missing,,,,,,,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Andy Pages"",""player_key"":""andy pages"",""team"":""Los Angeles Dodgers"",""team_key"":""los angeles dodgers"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""570"",""book"":""FanDuel"",""consensus_odds"":""525"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+570 | DraftKings:+549 | Caesars:+500 | BetMGM:+450"",""raw_books_seen"":""FanDuel:+570 | DraftKings:+549 | Caesars:+500 | BetMGM:+450 | FanDuel:+570"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Francisco Giants,probable,7,36.3,6.19,1.54,5.91,7.84,7.36,4.71,2.72,1.73,85.89,ATTACK,85.89,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,55.54,NEUTRAL,51.94,NEUTRAL,60.50,WATCH,145,10.0,9,3,1,1,1,Keaton Winn 21 pitches 2 app,4.03,1.33,1.01,8.11,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue WATCH,100.00,0.00,55.00,85.89,52.00,50.00,50.00,52.00,32.21,LONGSHOT
10,2026-05-13,2026,Will Smith,,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,home,1,Adrian Houser,Robbie Ray,Robbie Ray,592662,L,Robbie Ray,592662,Shohei Ohtani,660271,525,BetMGM,16.00,32.21,missing,,,,,,,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Will Smith"",""player_key"":""will smith"",""team"":""Los Angeles Dodgers"",""team_key"":""los angeles dodgers"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""525"",""book"":""BetMGM"",""consensus_odds"":""498"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+525 | FanDuel:+520 | Caesars:+475 | DraftKings:+473"",""raw_books_seen"":""BetMGM:+525 | FanDuel:+520 | Caesars:+475 | DraftKings:+473 | BetMGM:+525"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Francisco Giants,probable,7,36.3,6.19,1.54,5.91,7.84,7.36,4.71,2.72,1.73,85.89,ATTACK,85.89,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,55.54,NEUTRAL,51.94,NEUTRAL,60.50,WATCH,145,10.0,9,3,1,1,1,Keaton Winn 21 pitches 2 app,4.03,1.33,1.01,8.11,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue WATCH,100.00,0.00,55.00,85.89,52.00,50.00,50.00,52.00,32.21,LONGSHOT
