game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Moisés Ballesteros,Chicago Cubs,JR Ritchie,NO_ODDS,52.73,45.50,77.21,39.23,57.65,1.4400%,2.0814%,44.54%,55.35,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Seiya Suzuki,Chicago Cubs,JR Ritchie,NO_ODDS,52.55,45.22,76.55,39.48,57.44,1.4400%,2.0776%,44.28%,55.13,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Seiya Suzuki,Chicago Cubs,JR Ritchie,NO_ODDS,52.54,45.20,76.71,39.33,57.44,0.1728%,0.2494%,44.31%,55.13,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.47,45.18,76.84,39.03,57.39,0.1728%,0.2494%,44.31%,55.07,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.45,45.18,76.75,39.03,57.37,1.4400%,2.0776%,44.28%,55.05,C,LOW,HIGH_RISK,Ian Happ | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.41,45.19,76.70,38.95,57.34,0.1728%,0.2493%,44.26%,55.02,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Seiya Suzuki + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.40,45.03,76.56,39.15,57.30,0.0207%,0.0299%,44.19%,54.98,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.35,45.20,76.54,38.92,57.28,1.4400%,2.0765%,44.20%,54.96,C,LOW,HIGH_RISK,Ian Happ | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.34,45.09,76.64,38.89,57.27,0.1728%,0.2492%,44.20%,54.95,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Seiya Suzuki + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.35,45.04,76.45,39.10,57.26,0.0207%,0.0299%,44.15%,54.94,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Seiya Suzuki + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.36,44.99,76.40,39.20,57.25,0.1728%,0.2491%,44.13%,54.93,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Moisés Ballesteros + Seiya Suzuki,Chicago Cubs,JR Ritchie,NO_ODDS,52.35,44.89,76.36,39.28,57.23,1.4400%,2.0750%,44.10%,54.91,C,LOW,HIGH_RISK,Moisés Ballesteros | Seiya Suzuki
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Dansby Swanson + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.30,45.02,76.55,38.87,57.22,0.0207%,0.0299%,44.15%,54.89,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Dansby Swanson | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Seiya Suzuki + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.30,44.97,76.41,39.05,57.21,0.0207%,0.0299%,44.11%,54.88,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Seiya Suzuki + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.29,45.00,76.26,39.12,57.19,0.1728%,0.2490%,44.08%,54.87,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.25,45.05,76.45,38.83,57.19,1.4400%,2.0753%,44.12%,54.86,C,LOW,HIGH_RISK,Ian Happ | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Dansby Swanson + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.25,44.95,76.50,38.83,57.17,0.0207%,0.0299%,44.11%,54.84,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Dansby Swanson | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Moisés Ballesteros + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.24,44.85,76.56,38.82,57.16,1.4400%,2.0750%,44.10%,54.83,C,LOW,HIGH_RISK,Moisés Ballesteros | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.24,44.95,76.32,38.95,57.15,0.1728%,0.2489%,44.06%,54.82,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Dansby Swanson + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.22,44.98,76.39,38.82,57.15,0.1728%,0.2490%,44.08%,54.82,C,LOW,HIGH_RISK,Ian Happ | Dansby Swanson | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Moisés Ballesteros + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.23,44.86,76.35,38.97,57.14,0.1728%,0.2489%,44.05%,54.81,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Seiya Suzuki + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.23,44.90,76.20,39.06,57.13,0.1728%,0.2489%,44.02%,54.80,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Pete Crow-Armstrong + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.20,44.96,76.40,38.77,57.13,0.0207%,0.0299%,44.07%,54.80,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Pete Crow-Armstrong | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Seiya Suzuki + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.23,44.86,76.17,39.10,57.12,0.0207%,0.0299%,44.01%,54.79,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Moisés Ballesteros + Seiya Suzuki + Dansby Swanson,Chicago Cubs,JR Ritchie,NO_ODDS,52.22,44.77,76.27,39.06,57.11,0.1728%,0.2488%,44.01%,54.78,C,LOW,HIGH_RISK,Moisés Ballesteros | Seiya Suzuki | Dansby Swanson
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Seiya Suzuki + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.22,44.80,76.19,39.11,57.11,0.0207%,0.0299%,44.00%,54.78,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Seiya Suzuki | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Seiya Suzuki + Dansby Swanson + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.21,44.88,76.22,39.00,57.11,0.0207%,0.0299%,44.02%,54.78,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Dansby Swanson | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Dansby Swanson + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.16,44.88,76.33,38.76,57.08,0.1728%,0.2489%,44.02%,54.75,C,LOW,HIGH_RISK,Ian Happ | Dansby Swanson | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Dansby Swanson + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.17,44.84,76.27,38.87,57.08,0.0207%,0.0299%,44.01%,54.75,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Dansby Swanson | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Moisés Ballesteros + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.15,44.87,76.35,38.71,57.07,1.4400%,2.0739%,44.02%,54.74,C,LOW,HIGH_RISK,Moisés Ballesteros | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Dansby Swanson + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.16,44.78,76.29,38.88,57.07,0.0207%,0.0299%,44.00%,54.74,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Dansby Swanson | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Seiya Suzuki + Dansby Swanson + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.16,44.81,76.18,38.95,57.07,0.0207%,0.0299%,43.98%,54.73,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Dansby Swanson | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Moisés Ballesteros + Seiya Suzuki + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.16,44.78,76.13,38.98,57.05,0.1728%,0.2488%,43.96%,54.72,C,LOW,HIGH_RISK,Moisés Ballesteros | Seiya Suzuki | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Pete Crow-Armstrong + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.12,44.85,76.16,38.82,57.04,0.0207%,0.0299%,43.97%,54.71,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Pete Crow-Armstrong | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Pete Crow-Armstrong + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.12,44.79,76.19,38.83,57.03,0.0207%,0.0299%,43.96%,54.70,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Pete Crow-Armstrong | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Pete Crow-Armstrong + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.09,44.89,76.19,38.69,57.03,0.1728%,0.2488%,43.97%,54.69,C,LOW,HIGH_RISK,Ian Happ | Pete Crow-Armstrong | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Seiya Suzuki + Pete Crow-Armstrong + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.11,44.82,76.07,38.90,57.02,0.0207%,0.0298%,43.94%,54.69,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Pete Crow-Armstrong | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Seiya Suzuki + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.13,44.76,75.88,39.12,57.01,0.1728%,0.2486%,43.89%,54.68,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.10,44.84,75.97,38.92,57.01,1.4400%,2.0724%,43.92%,54.67,C,LOW,HIGH_RISK,Ian Happ | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Moisés Ballesteros + Dansby Swanson + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.08,44.76,76.27,38.68,57.01,0.1728%,0.2488%,43.96%,54.67,C,LOW,HIGH_RISK,Moisés Ballesteros | Dansby Swanson | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Moisés Ballesteros + Seiya Suzuki + Dansby Swanson + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,NO_ODDS,52.11,44.72,76.13,38.89,57.01,0.0207%,0.0298%,43.93%,54.67,C,LOW,HIGH_RISK,Moisés Ballesteros | Seiya Suzuki | Dansby Swanson | Pete Crow-Armstrong
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Ian Happ + Seiya Suzuki + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.12,44.67,75.91,39.14,56.99,0.1728%,0.2486%,43.88%,54.66,C,LOW,HIGH_RISK,Ian Happ | Seiya Suzuki | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Moisés Ballesteros + Michael Busch + Carson Kelly,Chicago Cubs,JR Ritchie,NO_ODDS,52.08,44.78,76.12,38.77,56.99,0.0207%,0.0298%,43.93%,54.66,C,LOW,HIGH_RISK,Ian Happ | Moisés Ballesteros | Michael Busch | Carson Kelly
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,2,Ian Happ + Alex Bregman,Chicago Cubs,JR Ritchie,NO_ODDS,52.09,44.71,76.02,38.95,56.99,1.4400%,2.0721%,43.90%,54.65,C,LOW,HIGH_RISK,Ian Happ | Alex Bregman
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,3,Moisés Ballesteros + Seiya Suzuki + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.09,44.68,76.07,38.92,56.99,0.1728%,0.2487%,43.90%,54.65,C,LOW,HIGH_RISK,Moisés Ballesteros | Seiya Suzuki | Michael Busch
Chicago Cubs @ Atlanta Braves,TEAMMATE_HR_STACK,4,Ian Happ + Dansby Swanson + Pete Crow-Armstrong + Michael Busch,Chicago Cubs,JR Ritchie,NO_ODDS,52.06,44.80,76.17,38.67,56.99,0.0207%,0.0298%,43.94%,54.65,C,LOW,HIGH_RISK,Ian Happ | Dansby Swanson | Pete Crow-Armstrong | Michael Busch
