rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Moisés Ballesteros,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.58,12.87%,24.10%,1.6417%,1.9852%,20.92%,-21.28%,74.98,SIM_PLAYABLE_2MAN,NO_ODDS
2,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,2MAN_ANY_HR_ENVIRONMENT,48.98,13.81%,25.73%,1.8867%,2.2489%,19.20%,-34.48%,74.56,SIM_PLAYABLE_2MAN,NO_ODDS
3,Kansas City Royals @ Chicago White Sox,2,Munetaka Murakami + Colson Montgomery,Chicago White Sox,Seth Lugo,TEAMMATE_HR_STACK,2MAN_ANY_HR_ENVIRONMENT,52.31,13.95%,25.96%,1.9279%,2.2842%,18.48%,-41.59%,74.49,SIM_PLAYABLE_2MAN,NO_ODDS
4,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Seiya Suzuki,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.36,12.87%,24.09%,1.6403%,1.9814%,20.79%,-32.10%,74.29,SIM_PLAYABLE_2MAN,NO_ODDS
5,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.40,12.96%,24.25%,1.6640%,2.0037%,20.41%,-28.22%,73.83,SIM_PLAYABLE_2MAN,NO_ODDS
6,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Corbin Carroll,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.51,13.29%,24.81%,1.7574%,2.1166%,20.44%,-27.51%,73.22,SIM_PLAYABLE_2MAN,NO_ODDS
7,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.42,13.05%,24.41%,1.6909%,2.0358%,20.39%,-30.30%,72.53,SIM_PLAYABLE_2MAN,NO_ODDS
8,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Brandon Nimmo,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.65,12.74%,23.88%,1.6032%,1.9318%,20.50%,-23.58%,71.75,SIM_PLAYABLE_2MAN,NO_ODDS
9,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.12,12.63%,23.68%,1.5727%,1.8986%,20.72%,-31.96%,71.62,SIM_PLAYABLE_2MAN,NO_ODDS
10,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.22,12.22%,22.97%,1.4573%,1.7598%,20.76%,-29.05%,70.97,SIM_PLAYABLE_2MAN,NO_ODDS
11,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Will Smith,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.91,13.31%,24.90%,1.7273%,2.0514%,18.77%,-38.48%,70.83,SIM_PLAYABLE_2MAN,NO_ODDS
12,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Dansby Swanson,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.30,12.02%,22.64%,1.4024%,1.6940%,20.80%,-25.33%,70.78,SIM_PLAYABLE_2MAN,NO_ODDS
13,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Joc Pederson,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.40,12.38%,23.26%,1.5013%,1.8077%,20.41%,-25.13%,70.75,SIM_PLAYABLE_2MAN,NO_ODDS
14,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Andy Pages,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.94,13.04%,24.44%,1.6423%,1.9508%,18.78%,-36.20%,70.37,SIM_PLAYABLE_2MAN,NO_ODDS
15,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Seiya Suzuki,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.15,11.65%,21.95%,1.3584%,1.6397%,20.71%,-28.00%,69.84,SIM_PLAYABLE_2MAN,NO_ODDS
16,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Josh Jung,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.37,12.03%,22.66%,1.4023%,1.6878%,20.37%,-29.52%,69.77,SIM_PLAYABLE_2MAN,NO_ODDS
17,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Teoscar Hernández,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.62,12.92%,24.23%,1.6053%,1.9048%,18.66%,-39.51%,69.72,SIM_PLAYABLE_2MAN,NO_ODDS
18,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Ketel Marte,Arizona Diamondbacks,Kumar Rocker,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.02,12.19%,22.89%,1.4842%,1.7839%,20.20%,-34.37%,69.63,SIM_PLAYABLE_2MAN,NO_ODDS
19,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.14,11.54%,21.76%,1.3324%,1.6025%,20.27%,-28.36%,68.71,SIM_PLAYABLE_2MAN,NO_ODDS
20,Kansas City Royals @ Chicago White Sox,2,Salvador Perez + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.28,12.83%,24.06%,1.5865%,1.8866%,18.92%,-42.47%,68.56,SIM_PLAYABLE_2MAN,NO_ODDS
21,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Jake Burger,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.00,12.09%,22.72%,1.4606%,1.7558%,20.21%,-32.28%,68.14,SIM_PLAYABLE_2MAN,NO_ODDS
22,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Corbin Carroll,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.25,11.88%,22.34%,1.4072%,1.6928%,20.30%,-27.65%,68.07,SIM_PLAYABLE_2MAN,NO_ODDS
23,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Freddie Freeman,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.03,12.68%,23.84%,1.5326%,1.8208%,18.80%,-36.80%,67.64,SIM_PLAYABLE_2MAN,NO_ODDS
24,Arizona Diamondbacks @ Texas Rangers,2,Ketel Marte + Jake Burger,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.91,11.85%,22.30%,1.4053%,1.6888%,20.17%,-35.08%,67.46,SIM_PLAYABLE_2MAN,NO_ODDS
25,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.16,11.64%,21.93%,1.3539%,1.6281%,20.25%,-30.44%,67.40,SIM_PLAYABLE_2MAN,NO_ODDS
26,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.53,12.52%,23.46%,1.5661%,1.8641%,19.03%,-35.96%,66.51,SIM_PLAYABLE_2MAN,NO_ODDS
27,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Dalton Rushing,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.74,12.22%,23.06%,1.3905%,1.6501%,18.67%,-39.64%,66.27,SIM_PLAYABLE_2MAN,NO_ODDS
