rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
1,Corey Seager,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,441,69.60,68.34,51.90,65.90,74.70,81.00,50.30,56.00,4.05,13.07%,14.15%,85.85%,0.841%,18.48%,607,-23.44%,-4.33%,4.33%,STRONG_PROBABILITY,TAXED_PRICE,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
2,Ian Happ,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,430,70.00,67.97,52.88,68.10,77.90,75.10,47.20,52.00,4.05,12.88%,14.08%,85.92%,0.833%,18.87%,610,-25.38%,-4.79%,4.79%,STRONG_PROBABILITY,TAXED_PRICE,WATCHLIST,PLAYABLE,MEDIUM
3,Moisés Ballesteros,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,610,66.33,65.41,52.46,64.10,76.30,73.20,47.20,49.00,4.05,11.20%,11.66%,88.34%,0.571%,14.08%,757,-17.18%,-2.42%,2.42%,PLAYABLE_PROBABILITY,FAIR_OR_THIN,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
4,Bobby Witt Jr.,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,475,65.65,64.44,50.28,62.00,69.60,76.80,48.60,52.00,4.05,11.12%,12.38%,87.62%,0.643%,17.39%,708,-28.84%,-5.02%,5.02%,PLAYABLE_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
5,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,573,65.74,64.33,51.48,60.80,69.50,73.90,50.30,56.00,4.05,10.66%,11.33%,88.67%,0.540%,14.86%,782,-23.72%,-3.52%,3.52%,PLAYABLE_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
6,Joc Pederson,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,590,64.23,62.74,50.89,58.90,67.10,71.50,50.30,56.00,4.05,9.87%,10.61%,89.39%,0.473%,14.49%,843,-26.81%,-3.88%,3.88%,LEAN_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
7,Dansby Swanson,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,650,62.76,61.58,51.90,60.60,68.20,68.60,47.20,49.00,4.05,9.32%,9.96%,90.04%,0.417%,13.33%,904,-25.28%,-3.37%,3.37%,LEAN_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
8,Evan Carter,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,770,60.33,59.89,50.39,55.20,64.70,68.90,50.30,53.00,4.05,8.60%,8.95%,91.05%,0.336%,11.49%,1018,-22.15%,-2.55%,2.55%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
9,Adrian Del Castillo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,780,57.99,58.32,49.93,55.50,63.60,64.80,50.30,53.00,4.05,7.93%,8.35%,91.65%,0.293%,11.36%,1098,-26.56%,-3.02%,3.02%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
10,Gabriel Moreno,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1000,59.88,59.58,50.04,57.10,65.80,67.60,50.30,48.00,4.05,7.97%,8.10%,91.90%,0.276%,9.09%,1134,-10.85%,-0.99%,0.99%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
11,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,930,57.92,57.68,50.26,53.50,62.40,66.40,50.30,48.00,4.05,7.17%,7.48%,92.52%,0.235%,9.71%,1238,-23.00%,-2.23%,2.23%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
12,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,1220,51.34,51.69,46.59,50.00,60.60,48.40,50.30,48.00,3.93,5.12%,5.41%,94.59%,0.123%,7.58%,1747,-28.54%,-2.16%,2.16%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
13,Nico Hoerner,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,1280,47.61,50.69,48.14,49.10,57.10,56.60,47.20,44.00,3.93,4.95%,5.22%,94.78%,0.115%,7.25%,1814,-27.90%,-2.02%,2.02%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
14,Max Muncy,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,320,68.52,67.02,48.48,63.30,68.40,83.90,51.10,59.00,4.05,12.81%,15.45%,84.55%,1.002%,23.81%,547,-35.11%,-8.36%,8.36%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
15,Munetaka Murakami,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,293,66.97,65.43,47.62,64.70,68.90,78.50,48.60,55.00,4.05,12.02%,15.24%,84.76%,0.975%,25.45%,556,-40.11%,-10.21%,10.21%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
16,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,398,70.68,68.38,51.81,67.90,73.80,78.70,45.70,59.00,4.05,12.29%,13.85%,86.15%,0.805%,20.08%,622,-31.03%,-6.23%,6.23%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,PLAYABLE,MEDIUM
17,Colson Montgomery,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,350,61.00,60.42,46.65,57.10,60.90,74.80,48.60,55.00,4.05,9.63%,12.65%,87.35%,0.672%,22.22%,691,-43.08%,-9.57%,9.57%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
18,Corbin Carroll,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,451,65.71,64.17,51.15,62.40,68.80,72.50,50.30,56.00,4.05,10.98%,12.42%,87.58%,0.648%,18.15%,705,-31.58%,-5.73%,5.73%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
19,Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,426,63.19,62.56,51.01,61.70,65.70,71.50,50.30,56.00,4.05,10.18%,11.95%,88.05%,0.599%,19.01%,737,-37.16%,-7.06%,7.06%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
20,Jake Burger,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,470,63.43,62.82,50.88,61.90,65.90,72.30,50.30,56.00,4.05,10.31%,11.76%,88.24%,0.580%,17.54%,751,-32.99%,-5.79%,5.79%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
21,Seiya Suzuki,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,425,63.18,61.77,52.12,62.80,67.20,66.60,47.20,52.00,4.05,9.80%,11.65%,88.35%,0.570%,19.05%,758,-38.83%,-7.40%,7.40%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
22,Will Smith,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,60.98,60.28,47.03,55.90,60.40,74.00,51.10,56.00,4.05,9.17%,11.18%,88.82%,0.525%,19.23%,794,-41.86%,-8.05%,8.05%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
23,Michael Busch,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,450,61.31,60.88,51.53,61.60,67.50,65.60,47.20,52.00,4.05,9.42%,11.17%,88.83%,0.524%,18.18%,795,-38.54%,-7.01%,7.01%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
24,Matt Olson,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,400,59.74,59.17,44.26,54.60,57.80,76.70,47.20,55.00,4.05,8.30%,10.64%,89.36%,0.475%,20.00%,840,-46.81%,-9.36%,9.36%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
25,Andy Pages,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,60.59,59.99,47.10,54.50,59.10,75.60,51.10,56.00,4.05,9.05%,10.63%,89.37%,0.474%,16.95%,841,-37.30%,-6.32%,6.32%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
26,Salvador Perez,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,430,58.82,58.23,48.78,57.10,59.40,67.60,48.60,52.00,4.05,8.30%,10.41%,89.59%,0.455%,18.87%,861,-44.82%,-8.46%,8.46%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
