name,hr,pa,barrel_pct,hard_hit_pct,xslg,avg_exit_velocity,avg_launch_angle,source
"Smith, Will",3,132,13.4,38.1,0.477,89.6,20.3,statcast
"Higgins, P.J.",0,12,0,0,0.337,79.5,21,statcast
"Fry, David",3,68,7.9,36.8,0.295,87.3,21.8,statcast
"Dunn, Blake",1,9,20,40,0.357,87.5,27.4,statcast
"De La Cruz, Elly",10,186,15,51.3,0.512,94,12.4,statcast
"Shaw, Matt",3,93,5.6,34.7,0.396,86.9,15.4,statcast
"Mayer, Marcelo",1,121,7,41.4,0.322,87.5,7.1,statcast
"Bliss, Ryan",0,2,0,0,0,0,0,statcast
"Muncy, Max",11,156,19.6,55.7,0.61,93,16.7,statcast
"Griffin, Konnor",3,144,10,35.2,0.426,88.2,7.2,statcast
"Carroll, Corbin",5,162,12,43,0.452,90.2,12.3,statcast
"Rafaela, Ceddanne",3,147,7.2,36,0.342,86.7,8.7,statcast
"Susac, Daniel",0,24,5,30,0.487,88,15.8,statcast
"Frazier, Adam",1,70,2.3,16.3,0.252,84.1,14.2,statcast
"Turang, Brice",6,167,10.7,49,0.54,92.4,7.7,statcast
"Lopez, Otto",4,172,9.8,46.6,0.479,91.2,6.1,statcast
"Jiménez, Leo",0,32,4.5,45.5,0.317,89.3,-1.9,statcast
"Contreras, Willson",8,166,18,46.2,0.536,91.2,15.7,statcast
"Yoshida, Masataka",0,84,0,42.9,0.28,88.9,6.8,statcast
"Ballesteros, Moisés",6,113,13.4,48.8,0.447,90.8,9.7,statcast
"DeLauter, Chase",6,161,6.5,41.1,0.457,90.2,14.4,statcast
"Acuña Jr., Ronald",2,152,12.2,40.8,0.485,89.2,15.5,statcast
"Garcia, Aramis",0,3,0,0,0.374,84.8,34.6,statcast
"Frelick, Sal",3,143,3.7,25,0.327,84.7,8,statcast
"Rice, Ben",13,156,20.7,58.7,0.608,94.4,13.5,statcast
"d'Arnaud, Travis",1,40,14.3,32.1,0.436,87.7,14.2,statcast
"Acuña, Luisangel",0,89,2.9,36.8,0.304,88.5,2.2,statcast
"Bichette, Bo",2,180,4.4,44.5,0.398,90.7,6.2,statcast
"Wilson, Will",1,6,25,25,0.762,87.8,0.8,statcast
"Ritter, Ryan",0,7,0,25,0.214,90.6,29.6,statcast
"Henderson, Gunnar",9,194,8.9,43.1,0.369,89.8,14.4,statcast
"Tovar, Ezequiel",1,150,8.2,33.7,0.367,87,13.9,statcast
"Contreras, William",3,165,7,43,0.441,89.9,11.5,statcast
"Keith, Colt",0,122,5.6,44.4,0.424,90.7,11.7,statcast
"Ozuna, Marcell",4,149,8.6,36.8,0.411,88.9,25.1,statcast
"Manzardo, Kyle",2,132,11.5,39.7,0.406,89.3,17.7,statcast
"Adames, Willy",3,174,8.6,40.5,0.378,88.6,21.8,statcast
"Sullivan, Brett",0,68,0,27.7,0.285,85.4,17.9,statcast
"Oliva, Jared",0,7,0,66.7,0.379,93.6,13.6,statcast
"Matthews, Brice",4,103,10,38.3,0.377,88.5,10.8,statcast
"Benson, Will",2,80,13.2,39,0.384,91.4,28.3,statcast
"Quero, Jeferson",0,2,0,0,0.355,85.6,2.1,statcast
"Hayes, Ke'Bryan",2,110,11.3,40.5,0.408,91.5,17,statcast
"Riley, Austin",6,176,10.6,46,0.41,91.2,17.7,statcast
"Doyle, Brenton",1,108,3.4,32.3,0.264,87.7,8.8,statcast
"Feduccia, Hunter",0,50,0,22.2,0.274,86.7,13,statcast
"Domínguez, Jasson",1,32,0,42.3,0.384,91.9,11.4,statcast
"Julien, Edouard",2,120,8.5,49.3,0.426,91.8,8.2,statcast
"Kurtz, Nick",5,185,15.4,59.3,0.481,94.8,12.4,statcast
"Crow-Armstrong, Pete",4,170,8.1,46.8,0.395,91.4,17.5,statcast
"Robert Jr., Luis",2,98,2.9,42.6,0.377,90.2,14.7,statcast
