"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-03-25","82.9","1.29","5.92","Lee, Jung Hoo",808982,608331,"field_out","hit_into_play",,,,,11,"Jung Hoo Lee lines out to left fielder Cody Bellinger.","R","L","L","SF","NYY","X",7,"line_drive",1,2,2026,"-1.28","0.28",-0.10769140717803638,3.711969403876651,,,,0,7,"Bot",58.5,126.74,,,,,-0.5982242707019786,-120.75499402285506,1.0815478023799898,-12.330328445209638,24.998236501926648,-29.88011822915272,3.22351542,1.626820866,246,"79.1",30,"82.7",2813,"6.3",823244,669224,700250,665862,641857,676609,641355,663757,592450,"54.24",0.143,0.154,"0",1,0,0,3,57,4,"Sweeper",0,7,0,7,7,0,0,7,"Strategic","Standard",298,"-0.003","-0.189","49.3","6.1",0.215,"0.189","88.0",-7,-7,0.01,0.01,32,27,32,28,3,2,,,6,2,"3.04","-1.28","-1.28","42.4",8.541837461991298,19.943241206344883,26.66747649837605,31.792371412327224,20.22944144482531
"CH","2026-03-25","85.4","-1.82","4.78","McMahon, Ryan",641857,657277,"strikeout","swinging_strike",,,,,13,"Ryan McMahon strikes out swinging.","R","L","R","SF","NYY","S",2,,2,2,2026,"-0.91","-0.45",-0.1667360227261292,1.0408606571363088,,665862,,2,5,"Top",,,,,,,5.76635813421567,-124.26807934001538,-1.407263348574006,-10.571091974732832,23.470982648522636,-36.74624190373329,3.31742126,1.674212598,,,,"86.6",1521,"6.9",823244,672275,669477,650333,656305,642715,671218,664056,808982,"53.59",,0,"0",1,0,0,,42,5,"Changeup",0,7,7,0,7,0,7,0,"Standard","Standard",274,"0.003","-0.22","35.6","7.0",,"0.22",,-7,7,0.023,0.977,29,31,30,32,3,2,,,6,2,"3.56","0.91","-0.91","17.5",4.68328602124909,15.127944107780195,36.71053561907705,40.41754745348261,19.847271842247977
"SI","2026-03-25","90.2","-1.66","4.95","McMahon, Ryan",641857,657277,,"swinging_strike",,,,,2,,"R","L","R","SF","NYY","S",,,2,1,2026,"-1.6","0.3",-0.054756747848076825,3.3683168326121784,,665862,,2,5,"Top",,,,,,,7.449675248319574,-131.09726095602105,1.5536313918291365,-19.992162200146097,27.48894660621636,-29.244854069757512,3.31742126,1.674212598,,,,"90.7",1946,"6.7",823244,672275,669477,650333,656305,642715,671218,664056,808982,"53.83",,,,,,,,42,4,"Sinker",0,7,7,0,7,0,7,0,"Standard","Standard",235,"0","-0.064","73.3","6.3",,"0.064",,-7,7,0.023,0.977,29,31,30,32,3,2,,,6,2,"2.5","1.6","-1.6","24.9",4.515368232728848,8.827635473294423,31.100773421873157,39.17565952040718,20.636952181959572
"SI","2026-03-25","92.8","1.09","6.03","Lee, Jung Hoo",808982,608331,,"foul",,,,,12,,"R","L","L","SF","NYY","S",,,1,1,2026,"0.95","0.39",0.9733989027036207,2.7557708008115562,,,,0,7,"Bot",,,,,,,-2.4342775487376866,-135.32302218490003,-3.348076496597324,12.267905547931138,25.52032285812126,-26.934684137687913,3.22351542,1.626820866,,,,"93.9",2081,"6.5",823244,669224,700250,665862,641857,676609,641355,663757,592450,"53.97",,,,,,,,57,3,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",150,"-0.001","-0.061","64.6","6.6",,"0.061",,-7,-7,0.011,0.011,32,27,32,28,3,2,,,6,2,"2.22","0.95","0.95","46.2",-2.4040028849473662,-0.4319103914931917,37.59906765790948,17.854174854936883,27.41612075120776
"FC","2026-03-25","89.4","-1.78","5.05","McMahon, Ryan",641857,657277,,"ball",,,,,11,,"R","L","R","SF","NYY","B",,,1,1,2026,"-0.12","0.74",-0.007531870549945224,4.221145717718667,,,665862,2,5,"Top",,,,,,,4.597218128774202,-130.20385763670188,2.4941763244968223,-2.28476585111298,25.709361462507545,-24.37653188679228,3.31742126,1.674212598,,,,"90.4",2192,"6.7",823244,672275,669477,650333,656305,642715,671218,664056,808982,"53.8",,,,,,,,42,3,"Cutter",0,7,7,0,7,0,7,0,"Infield shade","Standard",230,"-0.001","0.054",,,,"-0.054",,-7,7,0.024,0.976,29,31,30,32,3,2,,,6,2,"2.09","0.12","-0.12","25.0",,,,,
"FF","2026-03-25","94","0.82","6.04","Lee, Jung Hoo",808982,608331,,"called_strike",,,,,8,,"R","L","L","SF","NYY","S",,,1,0,2026,"0.19","1.42",0.1709824059113651,1.6583540164668258,,,,0,7,"Bot",,,,,,,-2.111047156896601,-136.70894040984277,-8.689626585839218,2.863621057240817,28.165858718703202,-12.631949483170523,3.22351542,1.626820866,,,,"94.9",2087,"6.7",823244,669224,700250,665862,641857,676609,641355,663757,592450,"53.78",,,,,,,,57,2,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",155,"-0.001","-0.05",,,,"0.05",,-7,-7,0.012,0.012,32,27,32,28,3,2,,,6,2,"1.14","0.19","0.19","49.8",,,,,
"CU","2026-03-25","72.6","0.97","6.27","Lee, Jung Hoo",808982,608331,,"ball",,,,,13,,"R","L","L","SF","NYY","B",,,0,0,2026,"-0.81","-1.46",-0.43888990673907924,0.7644316922417094,,,,0,7,"Bot",,,,,,,-1.381361832701699,-105.57001973108696,-0.6106455217120257,-5.636282195427562,22.073634438945486,-43.03125813541791,3.22351542,1.626820866,,,,"72",2739,"6.4",823244,669224,700250,665862,641857,676609,641355,663757,592450,"54.07",,,,,,,,57,1,"Curveball",0,7,0,7,7,0,0,7,"Standard","Standard",323,"0.001","0.041",,,,"-0.041",,-7,-7,0.011,0.011,32,27,32,28,3,2,,,6,2,"5.87","-0.81","-0.81","51.6",,,,,
"SI","2026-03-25","90.2","-1.79","4.95","McMahon, Ryan",641857,657277,,"foul",,,,,6,,"R","L","R","SF","NYY","S",,,1,0,2026,"-1.29","0.11",0.5312415954798952,2.745381860919395,,,665862,2,5,"Top",,,,,,,8.543627776971658,-131.0789607367109,0.44804004403945785,-16.714431756657085,28.03775928439725,-31.23601538520492,3.31742126,1.674212598,153,"69.2",60,"90.6",1855,"6.6",823244,672275,669477,650333,656305,642715,671218,664056,808982,"53.88",,,,,,,,42,2,"Sinker",0,7,7,0,7,0,7,0,"Infield shade","Standard",233,"0","-0.05","70.1","6.4",,"0.05","88.0",-7,7,0.024,0.976,29,31,30,32,3,2,,,6,2,"2.7","1.29","-1.29","24.4",2.613036376526387,10.078220365178593,37.75668000002456,32.17254992654128,22.576770275298895
"FC","2026-03-25","91.7","1.22","5.89","Adames, Willy",642715,608331,"field_out","hit_into_play",,,,,3,"Willy Adames lines out sharply to right fielder Aaron Judge.","R","R","L","SF","NYY","X",9,"line_drive",1,0,2026,"0.18","0.38",0.6576919795370202,2.772705793590516,,,,2,6,"Bot",187.3,93.78,,,,,-1.8084409978341118,-133.6650082028602,-2.7517038109178094,2.56474541830296,26.038501566950227,-27.182655204261337,3.22351542,1.626820866,302,"100.8",15,"92.5",2318,"6.5",823244,669224,700250,665862,641857,676609,641355,663757,592450,"54.03",0.709,0.713,"0",1,0,0,4,52,2,"Cutter",0,7,0,7,7,0,0,7,"Infield shade","Standard",158,"-0.001","-0.297","70.5","7.6",0.952,"0.297","100.8",-7,-7,0.01,0.01,32,30,32,31,3,2,,,6,2,"2.3","0.18","-0.18","43.1",5.110519803029758,14.221458226015457,27.690128667367873,47.38050087061859,17.253092297246404
"ST","2026-03-25","81.7","-2.13","4.8","McMahon, Ryan",641857,657277,,"ball",,,,,11,,"R","L","R","SF","NYY","B",,,0,0,2026,"1.07","0.26",-1.006538052017101,2.7269274037268625,,,665862,2,5,"Top",,,,,,,0.4077791979145956,-119.01736475339165,1.5907597822767097,10.01940747675441,23.939674284965246,-30.22378218647299,3.31742126,1.674212598,,,,"82.1",2488,"6.6",823244,672275,669477,650333,656305,642715,671218,664056,808982,"53.89",,,,,,,,42,1,"Sweeper",0,7,7,0,7,0,7,0,"Standard","Standard",79,"0","0.035",,,,"-0.035",,-7,7,0.024,0.976,29,31,30,32,3,2,,,6,2,"3.16","-1.07","1.07","21.6",,,,,
