name,mlbam,team,game,reason,available_log_teams
Junior Caminero,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Chandler Simpson,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Steven Kwan,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Victor Scott II,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Hunter Feduccia,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Jacob Young,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Nasim Nuñez,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Alec Bohm,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Cole Young,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Luis Torrens,,New York Mets,New York Yankees @ New York Mets,NO_LOG_MATCH,
Taylor Walls,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Nick Gonzales,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Chase Meidroth,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Nolan Schanuel,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Bryson Stott,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Xavier Edwards,,Miami Marlins,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Caleb Durbin,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Wenceel Pérez,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Ben Williamson,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Bryce Teodosio,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Tristan Peters,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Zach McKinstry,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Hyeseong Kim,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Darell Hernaiz,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Ernie Clement,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Freddy Fermin,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
TJ Friedl,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Nico Hoerner,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Masyn Winn,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Kyle Isbel,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Rafael Marchán,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Ryan Vilade,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Nick Fortes,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Luis Arraez,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Brett Baty,,New York Mets,New York Yankees @ New York Mets,NO_LOG_MATCH,
Masataka Yoshida,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Brayan Rocchio,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Jeff McNeil,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Trea Turner,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Keibert Ruiz,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Brandon Marsh,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Brandon Valenzuela,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Alejandro Osuna,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Matt Vierling,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Matt McLain,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Jonny DeLuca,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Isaac Collins,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
J.P. Crawford,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
