rank,name,team,opponent,game,pitcher,odds,final_hr_score,decision_tier,temperature,wind_speed,wind_direction,weather_desc,venue,roof_status,vegas_total,temp_score,wind_score,park_score,vegas_score,raw_weather_boost,weather_environment_score,weather_environment_grade,note
<<<<<<< HEAD
1,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,451,65.3,WATCH,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
2,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,426,63.7,WATCH,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
3,Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,407,57.1,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
4,Mickey Moniak,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,404,55,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
5,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1000,49.8,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
6,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,840,48.8,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
7,Lourdes Gurriel Jr.,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,890,46.1,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
8,Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,830,44.7,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
9,Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1100,38.1,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
