rank,name,team,opponent,pitcher,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,note
1,James Wood,Washington Nationals,Cincinnati Reds,Nick Lodolo,362,DraftKings,89,SLIP LAB ELITE,HIGH,4,MASTER|MATCHUP|SPLITS|PITCH|CONTACT,88.4,74.1,83.2,83,Sinker,24.4,Multi-layer agreement
2,Shea Langeliers,Athletics,St. Louis Cardinals,Matthew Liberatore,240,BetMGM,80.7,STRONG PLAY,HIGH,3,MASTER|SPLITS|PITCH,84.4,69.4,76.8,81.4,4-Seam Fastball,32.4,Strong layered support
3,Luke Raley,Seattle Mariners,Houston Astros,Lance McCullers Jr.,474,DraftKings,80.6,STRONG PLAY,HIGH,4,MASTER|MATCHUP|SPLITS|CONTACT,85.2,72.3,79.9,73.6,Cutter,21.8,Multi-layer agreement
4,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Andrew Painter,490,FanDuel,80.2,STRONG PLAY,HIGH,4,MASTER|SPLITS|CONTACT,83.4,70.4,79.2,76.8,Slider,17,Strong layered support
5,Nick Kurtz,Athletics,St. Louis Cardinals,Matthew Liberatore,333,BetMGM,79.8,STRONG PLAY,HIGH,3,MASTER|PITCH|CONTACT,82.8,69.9,74.8,80.7,4-Seam Fastball,32.4,Strong layered support
6,JJ Bleday,Cincinnati Reds,Washington Nationals,Jake Irvin,390,FanDuel,78.9,STRONG PLAY,MEDIUM,3,MASTER|SPLITS|PITCH|CONTACT,82.1,65.9,75.3,80.7,4-Seam Fastball,23.4,Multi-layer agreement
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,398,DraftKings,76.1,STRONG PLAY,MEDIUM,3,PITCH,79.8,67.9,73.8,78.7,4-Seam Fastball,30.4,Thin profile
8,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,400,BetMGM,76.1,STRONG PLAY,MEDIUM,3,PITCH|CONTACT,78.7,68.2,74.4,79.2,4-Seam Fastball,28.2,Playable with selectivity
9,Ian Happ,Chicago Cubs,Atlanta Braves,JR Ritchie,430,DraftKings,75.8,PLAYABLE,MEDIUM,3,SPLITS,79.3,68.2,78,75.1,Curveball,25.7,Thin profile
10,Corey Seager,Texas Rangers,Arizona Diamondbacks,Ryne Nelson,441,DraftKings,75.7,PLAYABLE,MEDIUM,3,PITCH,78.2,65.9,74.7,81,4-Seam Fastball,61,Thin profile
11,Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Andrew Painter,490,FanDuel,75.6,VALUE BOMB,MEDIUM,3,SPLITS|PITCH,79.7,66.6,76,78.2,4-Seam Fastball,39.2,Playable with selectivity
12,Sal Stewart,Cincinnati Reds,Washington Nationals,Jake Irvin,369,DraftKings,74.9,PLAYABLE,MEDIUM,3,MASTER,81.2,64.8,70.3,77.1,Sinker,28.4,Thin profile
13,Brent Rooker,Athletics,St. Louis Cardinals,Matthew Liberatore,310,BetMGM,74.8,PLAYABLE,MEDIUM,3,,78.2,65.9,71.9,77.8,4-Seam Fastball,32.4,Thin profile
14,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Jake Irvin,310,BetMGM,74.7,PLAYABLE,MEDIUM,3,MASTER,80.8,64.5,70.9,76.5,Sinker,28.4,Thin profile
15,Kyle Schwarber,Philadelphia Phillies,Boston Red Sox,Sonny Gray,250,BetMGM,74.7,PLAYABLE,MEDIUM,3,PITCH|CONTACT,76.7,63.5,72.8,80,Cutter,30,Playable with selectivity
16,Juan Soto,New York Mets,Detroit Tigers,Framber Valdez,470,FanDuel,74.3,VALUE BOMB,MEDIUM,3,PITCH|CONTACT,77.5,64.6,71.2,79.7,Sinker,39.9,Playable with selectivity
17,CJ Abrams,Washington Nationals,Cincinnati Reds,Nick Lodolo,543,DraftKings,73.8,VALUE BOMB,MEDIUM,3,MASTER,81.1,63.7,73.4,72.9,Sinker,24.4,Thin profile
18,Kyle Stowers,Miami Marlins,Minnesota Twins,Simeon Woods Richardson,400,BetMGM,73.4,PLAYABLE,MEDIUM,3,,77.9,67.1,71.8,70.2,Splitter,28.5,Thin profile
19,Max Muncy,Los Angeles Dodgers,San Francisco Giants,Robbie Ray,320,FanDuel,72.5,PLAYABLE,MEDIUM,2,PITCH|CONTACT,76.6,63.3,68.4,83.9,4-Seam Fastball,52.4,Playable with selectivity
20,Dominic Canzone,Seattle Mariners,Houston Astros,Lance McCullers Jr.,529,DraftKings,72.2,VALUE BOMB,LOW,2,MASTER,80.8,68.2,74.6,69.3,Sinker,20.3,Thin profile
21,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Seth Lugo,293,DraftKings,72.2,PLAYABLE,MEDIUM,2,PITCH|CONTACT,77,64.9,68.9,78.5,Curveball,14.9,Playable with selectivity
22,Tyler Soderstrom,Athletics,St. Louis Cardinals,Matthew Liberatore,475,BetMGM,70.9,VALUE BOMB,LOW,2,,77.6,65,68.4,75.1,4-Seam Fastball,32.4,Thin profile
23,Bobby Witt Jr.,Kansas City Royals,Chicago White Sox,Noah Schultz,475,BetMGM,70.8,VALUE BOMB,LOW,2,,77.1,62.1,69.7,76.8,4-Seam Fastball,25.1,Thin profile
