1. Xavier Edwards | Miami Marlins | LONGSHOT | Score 33.05 | +950 Caesars | Miami Marlins @ Minnesota Twins
2. Liam Hicks | Miami Marlins | LONGSHOT | Score 33.05 | +900 BetMGM | Miami Marlins @ Minnesota Twins
3. Jakob Marsee | Miami Marlins | LONGSHOT | Score 33.05 | +900 BetMGM | Miami Marlins @ Minnesota Twins
4. Joe Mack | Miami Marlins | LONGSHOT | Score 33.05 | +900 BetMGM | Miami Marlins @ Minnesota Twins
5. Owen Caissie | Miami Marlins | LONGSHOT | Score 33.05 | +850 BetMGM | Miami Marlins @ Minnesota Twins
6. Otto Lopez | Miami Marlins | LONGSHOT | Score 33.05 | +850 BetMGM | Miami Marlins @ Minnesota Twins
7. Connor Norby | Miami Marlins | LONGSHOT | Score 33.05 | +650 BetMGM | Miami Marlins @ Minnesota Twins
8. Heriberto Hernández | Miami Marlins | LONGSHOT | Score 33.05 | +598 DraftKings | Miami Marlins @ Minnesota Twins
9. Randy Arozarena | Seattle Mariners | LONGSHOT | Score 33.05 | +591 DraftKings | Seattle Mariners @ Houston Astros
10. Brendan Donovan | Seattle Mariners | LONGSHOT | Score 33.05 | +589 DraftKings | Seattle Mariners @ Houston Astros
11. Josh Naylor | Seattle Mariners | LONGSHOT | Score 33.05 | +567 DraftKings | Seattle Mariners @ Houston Astros
12. Dominic Canzone | Seattle Mariners | LONGSHOT | Score 33.05 | +529 DraftKings | Seattle Mariners @ Houston Astros
13. Christopher Morel | Miami Marlins | LONGSHOT | Score 33.05 | +520 FanDuel | Miami Marlins @ Minnesota Twins
14. Luke Raley | Seattle Mariners | LONGSHOT | Score 33.05 | +474 DraftKings | Seattle Mariners @ Houston Astros
15. Julio Rodríguez | Seattle Mariners | LONGSHOT | Score 33.05 | +470 FanDuel | Seattle Mariners @ Houston Astros
16. Kyle Stowers | Miami Marlins | LONGSHOT | Score 33.05 | +400 BetMGM | Miami Marlins @ Minnesota Twins
17. Cal Raleigh | Seattle Mariners | LONGSHOT | Score 33.05 | +310 FanDuel | Seattle Mariners @ Houston Astros
18. Keibert Ruiz | Washington Nationals | LONGSHOT | Score 32.99 | +880 FanDuel | Washington Nationals @ Cincinnati Reds
19. Daylen Lile | Washington Nationals | LONGSHOT | Score 32.99 | +820 FanDuel | Washington Nationals @ Cincinnati Reds
20. Brady House | Washington Nationals | LONGSHOT | Score 32.99 | +680 FanDuel | Washington Nationals @ Cincinnati Reds
21. Joey Wiemer | Washington Nationals | LONGSHOT | Score 32.99 | +610 FanDuel | Washington Nationals @ Cincinnati Reds
22. CJ Abrams | Washington Nationals | LONGSHOT | Score 32.99 | +543 DraftKings | Washington Nationals @ Cincinnati Reds
23. James Wood | Washington Nationals | LONGSHOT | Score 32.99 | +362 DraftKings | Washington Nationals @ Cincinnati Reds
24. Tyler Soderstrom | Athletics | LONGSHOT | Score 32.12 | +475 BetMGM | St. Louis Cardinals @ Athletics
25. Zack Gelof | Athletics | LONGSHOT | Score 32.12 | +450 BetMGM | St. Louis Cardinals @ Athletics
26. Colby Thomas | Athletics | LONGSHOT | Score 32.12 | +430 FanDuel | St. Louis Cardinals @ Athletics
27. Nick Kurtz | Athletics | LONGSHOT | Score 32.12 | +333 BetMGM | St. Louis Cardinals @ Athletics
28. Shea Langeliers | Athletics | LONGSHOT | Score 32.12 | +240 BetMGM | St. Louis Cardinals @ Athletics
29. Brent Rooker | Athletics | LONGSHOT | Score 32.12 | +310 BetMGM | St. Louis Cardinals @ Athletics
30. Cole Young | Seattle Mariners | LONGSHOT | Score 31.96 | +1000 BetMGM | Seattle Mariners @ Houston Astros
