rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier
1,2026-05-13,2026,Xavier Edwards,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,950,Caesars,9.52,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Xavier Edwards"",""player_key"":""xavier edwards"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""Caesars"",""consensus_odds"":""920"",""trusted_books_count"":""3"",""trusted_books"":""Caesars:+950 | FanDuel:+920 | DraftKings:+850"",""raw_books_seen"":""BetMGM:+1500 | Caesars:+950 | FanDuel:+920 | DraftKings:+850 | BetMGM:+1500"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,92.82,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,4-Seam Fastball,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,267,228,Xavier Edwards profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
2,2026-05-13,2026,Liam Hicks,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,900,BetMGM,10.00,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Liam Hicks"",""player_key"":""liam hicks"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""690"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | Caesars:+700 | FanDuel:+680 | DraftKings:+650"",""raw_books_seen"":""BetMGM:+900 | Caesars:+700 | FanDuel:+680 | DraftKings:+650 | BetMGM:+900"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,99.38,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,Split-Finger,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,187,228,Liam Hicks profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
3,2026-05-13,2026,Jakob Marsee,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,900,BetMGM,10.00,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Jakob Marsee"",""player_key"":""jakob marsee"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""755"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | FanDuel:+760 | Caesars:+750 | DraftKings:+690"",""raw_books_seen"":""BetMGM:+900 | FanDuel:+760 | Caesars:+750 | DraftKings:+690 | BetMGM:+900"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,96.11,ELITE MATCHUP,Split-Finger,28.5,100.0,100.0,Split-Finger,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,250,228,Jakob Marsee profiles best against Split-Finger | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
4,2026-05-13,2026,Joe Mack,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,900,BetMGM,10.00,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Joe Mack"",""player_key"":""joe mack"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""785"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | FanDuel:+820 | Caesars:+750 | DraftKings:+730"",""raw_books_seen"":""BetMGM:+900 | FanDuel:+820 | Caesars:+750 | DraftKings:+730 | BetMGM:+900"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,87.20,ELITE MATCHUP,4-Seam Fastball,37.7,98.9,100.0,Cutter,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,94,228,Joe Mack profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
5,2026-05-13,2026,Owen Caissie,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,850,BetMGM,10.53,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Owen Caissie"",""player_key"":""owen caissie"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""850"",""book"":""BetMGM"",""consensus_odds"":""573"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+850 | Caesars:+575 | FanDuel:+570 | DraftKings:+536"",""raw_books_seen"":""BetMGM:+850 | Caesars:+575 | FanDuel:+570 | DraftKings:+536 | BetMGM:+850"",""removed_outliers"":""1"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,85.69,ELITE MATCHUP,Split-Finger,28.5,83.3,100.0,Split-Finger,83.3,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,166,228,Owen Caissie profiles best against Split-Finger | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
6,2026-05-13,2026,Otto Lopez,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,850,BetMGM,10.53,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Otto Lopez"",""player_key"":""otto lopez"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""850"",""book"":""BetMGM"",""consensus_odds"":""608"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+850 | Caesars:+625 | FanDuel:+590 | DraftKings:+588"",""raw_books_seen"":""BetMGM:+850 | Caesars:+625 | FanDuel:+590 | DraftKings:+588 | BetMGM:+850"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,93.79,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,4-Seam Fastball,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,239,228,Otto Lopez profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
7,2026-05-13,2026,Connor Norby,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,650,BetMGM,13.33,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Connor Norby"",""player_key"":""connor norby"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""523"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | Caesars:+525 | FanDuel:+520 | DraftKings:+499"",""raw_books_seen"":""BetMGM:+650 | Caesars:+525 | FanDuel:+520 | DraftKings:+499 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,93.27,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,4-Seam Fastball,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,208,228,Connor Norby profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
8,2026-05-13,2026,Heriberto Hernández,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,598,DraftKings,14.33,33.05,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Heriberto Hernández"",""player_key"":""heriberto hernandez"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""598"",""book"":""DraftKings"",""consensus_odds"":""587"",""trusted_books_count"":""2"",""trusted_books"":""DraftKings:+598 | Caesars:+575"",""raw_books_seen"":""DraftKings:+598 | Caesars:+575 | DraftKings:+598"",""removed_outliers"":""1"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,8.5,2.0,MATCH,the_odds_api_totals,94.19,ELITE MATCHUP,4-Seam Fastball,37.7,100.0,100.0,4-Seam Fastball,100.0,Slider,100.0,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,80,228,Heriberto Hernández profiles best against 4-Seam Fastball | Simeon Woods Richardson grades weakest on Slider,51.48,NEUTRAL,56.08,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.51,1.36,0.95,7.73,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,93.63,50.00,50.00,50.00,52.00,33.05,LONGSHOT
9,2026-05-13,2026,Randy Arozarena,,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,824195,2026-05-14T00:10:00Z,Scheduled,Daikin Park,away,0,Lance McCullers Jr.,Lance McCullers Jr.,Lance McCullers Jr.,621121,R,Lance McCullers Jr.,621121,Bryce Miller,682243,591,DraftKings,14.47,33.05,missing,,,,,,,Seattle Mariners,Seattle Mariners @ Houston Astros,"{""player"":""Randy Arozarena"",""player_key"":""randy arozarena"",""team"":""Seattle Mariners"",""team_key"":""seattle mariners"",""game"":""Seattle Mariners @ Houston Astros"",""game_key"":""seattle mariners @ houston astros"",""market"":""HR"",""line"":""0.5"",""odds"":""591"",""book"":""DraftKings"",""consensus_odds"":""535"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+591 | FanDuel:+570 | Caesars:+500 | BetMGM:+475"",""raw_books_seen"":""DraftKings:+591 | FanDuel:+570 | Caesars:+500 | BetMGM:+475 | DraftKings:+591"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Houston Astros,probable,7,34.0,7.41,1.50,5.12,9.06,9.22,9.79,5.29,1.32,80.64,ATTACK,80.64,MATCH,Daikin Park,Daikin Park,Houston Astros,59.00,59.00,59.00,SLIGHT_BOOST,Slight HR boost,MATCH,9.3,5.0,MATCH,the_odds_api_totals,87.83,ELITE MATCHUP,Cutter,21.8,100.0,100.0,4-Seam Fastball,100.0,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,264,261,Randy Arozarena profiles best against Cutter | Lance McCullers Jr. grades weakest on Sinker,83.61,ATTACK,79.19,ATTACK,89.72,EXHAUSTED,212,12.0,8,4,3,3,0,AJ Blubaugh 67 pitches 2 app | Cody Bolton 50 pitches 1 app | Jayden Murray 60 pitches 2 app,5.61,1.59,1.37,8.97,Opponent bullpen ATTACK | Quality ATTACK | Fatigue EXHAUSTED,100.00,0.00,55.00,80.64,59.00,70.00,50.00,52.00,33.05,LONGSHOT
10,2026-05-13,2026,Brendan Donovan,,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,824195,2026-05-14T00:10:00Z,Scheduled,Daikin Park,away,0,Lance McCullers Jr.,Lance McCullers Jr.,Lance McCullers Jr.,621121,R,Lance McCullers Jr.,621121,Bryce Miller,682243,589,DraftKings,14.51,33.05,missing,,,,,,,Seattle Mariners,Seattle Mariners @ Houston Astros,"{""player"":""Brendan Donovan"",""player_key"":""brendan donovan"",""team"":""Seattle Mariners"",""team_key"":""seattle mariners"",""game"":""Seattle Mariners @ Houston Astros"",""game_key"":""seattle mariners @ houston astros"",""market"":""HR"",""line"":""0.5"",""odds"":""589"",""book"":""DraftKings"",""consensus_odds"":""573"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+589 | BetMGM:+575 | FanDuel:+570 | Caesars:+525"",""raw_books_seen"":""DraftKings:+589 | BetMGM:+575 | FanDuel:+570 | Caesars:+525"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Houston Astros,probable,7,34.0,7.41,1.50,5.12,9.06,9.22,9.79,5.29,1.32,80.64,ATTACK,80.64,MATCH,Daikin Park,Daikin Park,Houston Astros,59.00,59.00,59.00,SLIGHT_BOOST,Slight HR boost,MATCH,9.3,5.0,MATCH,the_odds_api_totals,92.04,ELITE MATCHUP,Sinker,20.3,85.5,100.0,Sinker,85.5,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,47,261,Brendan Donovan profiles best against Sinker | Lance McCullers Jr. grades weakest on Sinker | Direct pitch type overlap,83.61,ATTACK,79.19,ATTACK,89.72,EXHAUSTED,212,12.0,8,4,3,3,0,AJ Blubaugh 67 pitches 2 app | Cody Bolton 50 pitches 1 app | Jayden Murray 60 pitches 2 app,5.61,1.59,1.37,8.97,Opponent bullpen ATTACK | Quality ATTACK | Fatigue EXHAUSTED,100.00,0.00,55.00,80.64,59.00,70.00,50.00,52.00,33.05,LONGSHOT
