rank,generated_at,date,name,team,opponent,game,lineup_spot,lineup_status,handedness,pitcher,pitcher_hand,pitcher_era,pitcher_hr9,pitcher_attack_score,best_hr_odds,best_book,implied_probability,ev,edge,barrel_rate,hard_hit_rate,launch_angle,flyball_rate,iso,slg,xslg,park_factor,weather_boost,vegas_total,recent_form_score,trend_score,pitch_type_score,bullpen_score,statcast_score,market_score,matchup_score,hr_score,model_score,player_final_score,composite_score,tier,confidence,source_rank
1,2026-05-13T20:01:43.369Z,2026-05-13,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,,,Nick Lodolo,,6.75,3.38,77.17,362,DraftKings,21.6,0,0,27.6,61.2,10.1,0,0,0.538,0.616,1,0,0,0,0,90.54,0,99,83,99,80.8,80.8,33,88.4,ELITE,HIGH,23
2,2026-05-13T20:01:43.369Z,2026-05-13,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,,,Lance McCullers Jr.,,7.41,1.32,80.64,474,DraftKings,17.4,0,0,22.2,54,16.6,0,0,0,0.601,1,0,0,0,0,71.22,0,99,76.6,84.6,81,81,33.1,85.2,ELITE,HIGH,14
3,2026-05-13T20:01:43.369Z,2026-05-13,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,,,Matthew Liberatore,,4.07,1.71,71.52,240,BetMGM,29.4,0,0,17.1,48.7,20,0,0,0,0.626,1,0,0,0,0,91.24,0,97.3,87,77.9,78.7,78.7,32.1,84.4,STRONG,HIGH,28
4,2026-05-13T20:01:43.370Z,2026-05-13,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,,,Andrew Painter,,6.89,1.65,86.72,490,FanDuel,16.9,0,0,18,46.2,15.7,0,0,0.467,0.536,1,0,0,0,0,89.93,0,95.7,75.4,90.2,77.2,77.2,31.5,83.4,STRONG,HIGH,37
5,2026-05-13T20:01:43.369Z,2026-05-13,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,,,Matthew Liberatore,,4.07,1.71,71.52,333,BetMGM,23.1,0,0,15.4,59.3,12.4,0,0,0,0.481,1,0,0,0,0,90.68,0,93.7,83,77.8,78.7,78.7,32.1,82.8,STRONG,HIGH,27
6,2026-05-13T20:01:43.371Z,2026-05-13,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,,,Jake Irvin,,5.22,1.13,54.26,390,FanDuel,20.4,0,0,15.8,55.3,20.2,0,0,0.644,0.695,1,0,0,0,0,89.01,0,99,83,79.6,73.5,73.5,30,82.1,STRONG,HIGH,54
7,2026-05-13T20:01:43.371Z,2026-05-13,Sal Stewart,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,,,Jake Irvin,,5.22,1.13,54.26,369,DraftKings,21.3,0,0,18.7,43.3,13.8,0,0,0.494,0.538,1,0,0,0,0,89.06,0,94.9,83,79.6,73.5,73.5,30,81.2,STRONG,HIGH,55
8,2026-05-13T20:01:43.369Z,2026-05-13,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,,,Nick Lodolo,,6.75,3.38,77.17,543,DraftKings,15.6,0,0,12.2,41.7,14.6,0,0,0.531,0.494,1,0,0,0,0,92.02,0,79.3,66.9,99,80.8,80.8,33,81.1,STRONG,HIGH,22
9,2026-05-13T20:01:43.368Z,2026-05-13,Dominic Canzone,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,,,Lance McCullers Jr.,,7.41,1.32,80.64,529,DraftKings,15.9,0,0,15.4,49.2,18.4,0,0,0,0.504,1,0,0,0,0,65.67,0,87.3,67.7,83.8,81,81,33.1,80.8,STRONG,HIGH,12
10,2026-05-13T20:01:43.371Z,2026-05-13,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,,,Jake Irvin,,5.22,1.13,54.26,310,BetMGM,24.4,0,0,15,51.3,12.4,0,0,0.518,0.512,1,0,0,0,0,87.08,0,93.5,83,79.4,73.5,73.5,30,80.8,STRONG,HIGH,57
