category,label,plays,wins,losses,hit_rate,profit_units,roi,avg_model_score,avg_odds,avg_clv_pct,positive_clv_rate
BOARD,TB,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
BOARD,HR,106,0,106,0.0%,-106.00,-100.0%,41.84,874,-3.39,0.0%
TIER,TB | NO TIER,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
TIER,HR | SOLID,8,0,8,0.0%,-8.00,-100.0%,68.87,459,-1.10,0.0%
TIER,HR | WATCH,16,0,16,0.0%,-16.00,-100.0%,53.28,696,-0.95,0.0%
TIER,HR | LONGSHOT,82,0,82,0.0%,-82.00,-100.0%,36.97,949,-4.09,0.0%
SCORE RANGE,70 to 79,2,0,2,0.0%,-2.00,-100.0%,74.95,410,0.00,0.0%
SCORE RANGE,Under 70,108,1,107,0.9%,-107.00,-99.1%,39.67,850,-3.33,0.0%
ODDS RANGE,+100 to +249,1,0,1,0.0%,-1.00,-100.0%,38.82,240,0.00,0.0%
ODDS RANGE,UNKNOWN,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
ODDS RANGE,+250 to +399,7,0,7,0.0%,-7.00,-100.0%,56.47,348,-1.09,0.0%
ODDS RANGE,+400 to +549,19,0,19,0.0%,-19.00,-100.0%,50.19,487,-1.65,0.0%
ODDS RANGE,+750 to +999,20,0,20,0.0%,-20.00,-100.0%,40.95,882,-2.85,0.0%
ODDS RANGE,+550 to +749,25,0,25,0.0%,-25.00,-100.0%,44.59,628,-4.56,0.0%
ODDS RANGE,+1000 or longer,34,0,34,0.0%,-34.00,-100.0%,32.75,1392,-4.38,0.0%
PITCHER ATTACK RANGE,Under 60,110,1,109,0.9%,-109.00,-99.1%,40.32,842,-3.26,0.0%
CLV RANGE,-1% to -4.9%,15,0,15,0.0%,-15.00,-100.0%,45.01,675,-2.58,0.0%
CLV RANGE,-5% or worse,24,0,24,0.0%,-24.00,-100.0%,39.42,886,-13.31,0.0%
CLV RANGE,Flat,71,1,70,1.4%,-70.00,-98.6%,39.63,862,-0.01,0.0%
CLV RESULT,NO CLV,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
CLV RESULT,NEGATIVE CLV,41,0,41,0.0%,-41.00,-100.0%,42.19,791,-8.76,0.0%
CLV RESULT,FLAT,65,0,65,0.0%,-65.00,-100.0%,41.62,926,0.00,0.0%
LINEUP SPOT,Spot 9,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
LINEUP SPOT,Spot 0,106,0,106,0.0%,-106.00,-100.0%,41.84,874,-3.39,0.0%
TEAM,Houston Astros,7,0,7,0.0%,-7.00,-100.0%,51.63,650,-3.93,0.0%
TEAM,Los Angeles Angels,7,0,7,0.0%,-7.00,-100.0%,36.75,1514,-7.62,0.0%
TEAM,Arizona Diamondbacks,7,0,7,0.0%,-7.00,-100.0%,39.97,721,-2.79,0.0%
TEAM,Cleveland Guardians,8,0,8,0.0%,-8.00,-100.0%,37.13,1379,-3.63,0.0%
TEAM,Seattle Mariners,9,0,9,0.0%,-9.00,-100.0%,45.44,613,-3.27,0.0%
TEAM,Los Angeles Dodgers,9,0,9,0.0%,-9.00,-100.0%,45.94,534,-2.08,0.0%
TEAM,Toronto Blue Jays,9,0,9,0.0%,-9.00,-100.0%,42.02,909,0.00,0.0%
TEAM,San Francisco Giants,9,0,9,0.0%,-9.00,-100.0%,45.91,823,-0.86,0.0%
TEAM,Texas Rangers,10,0,10,0.0%,-10.00,-100.0%,42.21,689,-1.77,0.0%
TEAM,New York Yankees,12,1,11,8.3%,-11.00,-91.7%,33.07,581,-0.88,0.0%
TEAM,Baltimore Orioles,11,0,11,0.0%,-11.00,-100.0%,36.12,738,-3.52,0.0%
TEAM,Tampa Bay Rays,12,0,12,0.0%,-12.00,-100.0%,34.11,1125,-8.90,0.0%
PITCHER,UNKNOWN,4,1,3,25.0%,-3.00,-75.0%,0.00,0,0.00,0.0%
PITCHER,George Kirby,7,0,7,0.0%,-7.00,-100.0%,51.63,650,-3.93,0.0%
PITCHER,Joey Cantillo,7,0,7,0.0%,-7.00,-100.0%,36.75,1514,-7.62,0.0%
PITCHER,Jakob Junis,7,0,7,0.0%,-7.00,-100.0%,39.97,721,-2.79,0.0%
PITCHER,Brent Suter,8,0,8,0.0%,-8.00,-100.0%,37.13,1379,-3.63,0.0%
PITCHER,Brandon Young,9,0,9,0.0%,-9.00,-100.0%,44.09,774,-1.17,0.0%
PITCHER,Peter Lambert,9,0,9,0.0%,-9.00,-100.0%,45.44,613,-3.27,0.0%
PITCHER,Trevor McDonald,9,0,9,0.0%,-9.00,-100.0%,45.94,534,-2.08,0.0%
PITCHER,Drew Rasmussen,9,0,9,0.0%,-9.00,-100.0%,42.02,909,0.00,0.0%
PITCHER,Roki Sasaki,9,0,9,0.0%,-9.00,-100.0%,45.91,823,-0.86,0.0%
PITCHER,Ryan Weathers,10,0,10,0.0%,-10.00,-100.0%,39.73,812,-3.88,0.0%
PITCHER,Michael Soroka,10,0,10,0.0%,-10.00,-100.0%,42.21,689,-1.77,0.0%
PITCHER,Kevin Gausman,12,0,12,0.0%,-12.00,-100.0%,34.11,1125,-8.90,0.0%
