Pitcher,Opposing Team,GS,IP,xFIP,Team SO,Last 3,K/9,BB/9,HR/9,Attack,Tag
Jake Irvin,Cincinnati Reds,8,N/A,4.43,N/A,N/A,9.3,3.63,1.13,32,AVOID
Jose Quintana,Pittsburgh Pirates,6,N/A,6.08,N/A,N/A,4.2,3.9,1.5,32,AVOID
Mitch Keller,Colorado Rockies,8,N/A,4.1,N/A,N/A,6.7,2.68,0.38,32,AVOID
Andrew Painter,Boston Red Sox,6,N/A,5.29,N/A,N/A,8.27,3.31,1.65,32,AVOID
Sonny Gray,Philadelphia Phillies,6,N/A,5.05,N/A,N/A,4.82,2.25,0.96,32,AVOID
Dylan Cease,Tampa Bay Rays,8,N/A,2.77,N/A,N/A,13.1,3.57,0.2,32,AVOID
Framber Valdez,New York Mets,8,N/A,4.84,N/A,N/A,7.27,3.12,1.04,32,AVOID
Shota Imanaga,Atlanta Braves,8,N/A,3.12,N/A,N/A,10.08,2.47,0.76,32,AVOID
Seth Lugo,Chicago White Sox,8,N/A,4.25,N/A,N/A,7.93,3.21,0.19,32,AVOID
Noah Schultz,Kansas City Royals,5,N/A,5.21,N/A,N/A,8.28,5.76,0.72,32,AVOID
Max Meyer,Minnesota Twins,8,N/A,3.55,N/A,N/A,9.64,3.21,0.43,32,AVOID
Simeon Woods Richardson,Miami Marlins,8,N/A,6.6,N/A,N/A,4.38,3.69,1.85,32,AVOID
Michael King,Milwaukee Brewers,8,N/A,4.12,N/A,N/A,8.87,3.94,0.79,32,AVOID
Jacob Misiorowski,San Diego Padres,8,N/A,2.33,N/A,N/A,14.32,3.48,0.82,32,AVOID
Ryne Nelson,Texas Rangers,8,N/A,4.83,N/A,N/A,8.29,3.32,1.89,32,AVOID
Kumar Rocker,Arizona Diamondbacks,7,N/A,5.11,N/A,N/A,7.52,3.62,1.11,32,AVOID
Lance McCullers Jr.,Seattle Mariners,7,N/A,5.12,N/A,N/A,9.79,5.29,1.32,32,AVOID
Matthew Liberatore,Athletics,8,N/A,5.58,N/A,N/A,6.21,3.43,1.71,32,AVOID
J.T. Ginn,St. Louis Cardinals,6,N/A,4.68,N/A,N/A,7.47,3.62,1.21,32,AVOID
Robbie Ray,Los Angeles Dodgers,8,N/A,4.28,N/A,N/A,9.26,3.55,1.58,32,AVOID
Shohei Ohtani,San Francisco Giants,6,N/A,2.71,N/A,N/A,10.22,2.19,0.49,32,AVOID
Griffin Jax,Toronto Blue Jays,3,N/A,5.39,N/A,N/A,8.5,5,1.5,28,AVOID
Christian Scott,Detroit Tigers,3,N/A,3.95,N/A,N/A,12.27,5.73,0.82,28,AVOID
JR Ritchie,Chicago Cubs,3,N/A,6.63,N/A,N/A,6.75,6.23,2.08,28,AVOID
Nick Lodolo,Washington Nationals,1,N/A,6.15,N/A,N/A,3.38,1.69,3.38,24,AVOID
Bryce Miller,Houston Astros,0,N/A,3.59,N/A,N/A,0,0,0,18,AVOID
