updatedAt,team,opponent,game,venue,opposingPitcher,stackSize,players,batSides,avgHrScore,avgOps,avgSlg,totalSeasonHr,redAttackZones,pitcherCollapseProbability,bullpenCollapseScore,weatherBoost,parkBoost,correlationScore,leverageScore,leverageProfile,volatilityScore,volatilityMeter,hrChainReactionProbability,finalStackScore,stackGrade,correlatedHrLane,sprayDistribution,topAttackZones
2026-05-23T14:34:16.237Z,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians at Philadelphia Phillies,Citizens Bank Park,Slade Cecconi,3,Kyle Schwarber | Bryce Harper | Brandon Marsh,L | L | L,50.67,0.885,0.533,36,13,90,81,5,6.3,87,76,STRONG LEVERAGE,99,NUCLEAR,92,88,ELITE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Kyle Schwarber: 7:89 | 8:88 | 9:88 | 13:85 | 14:85 || Bryce Harper: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Brandon Marsh: 7:75 | 8:74 | 9:74 | 13:71 | 14:71
2026-05-23T14:34:16.237Z,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians at Philadelphia Phillies,Citizens Bank Park,Slade Cecconi,2,Kyle Schwarber | Bryce Harper,L | L,54.5,0.922,0.569,32,13,90,81,5,6.3,88,74,STRONG LEVERAGE,99,NUCLEAR,89,87,ELITE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Kyle Schwarber: 7:89 | 8:88 | 9:88 | 13:85 | 14:85 || Bryce Harper: 7:82 | 8:81 | 9:81 | 13:78 | 14:78
2026-05-23T14:34:16.237Z,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies at Arizona Diamondbacks,Chase Field,Michael Lorenzen,3,Corbin Carroll | Ildemaro Vargas | Nolan Arenado,L | S | R,52,0.872,0.51,21,11,99,86,5,2.1,76,72,STRONG LEVERAGE,98,NUCLEAR,85,82,ELITE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Corbin Carroll: 7:83 | 8:82 | 9:82 | 13:79 | 14:79 || Ildemaro Vargas: 8:87 | 13:84 | 18:82 | 7:81 | 9:73 || Nolan Arenado: 7:87 | 8:79 | 13:76 | 18:74 | 12:73
2026-05-23T14:34:16.237Z,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians at Philadelphia Phillies,Citizens Bank Park,Slade Cecconi,2,Kyle Schwarber | Brandon Marsh,L | L,51,0.886,0.536,24,8,90,81,5,6.3,79,69,SOLID LEVERAGE,96,NUCLEAR,86,82,ELITE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Kyle Schwarber: 7:89 | 8:88 | 9:88 | 13:85 | 14:85 || Brandon Marsh: 7:75 | 8:74 | 9:74 | 13:71 | 14:71
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,3,Matt Olson | Dominic Smith | Michael Harris II,L | L | L,50,0.875,0.534,30,6,89,86,10,0,75,70,SOLID LEVERAGE,99,NUCLEAR,85,81,ELITE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,4,Matt Olson | Dominic Smith | Michael Harris II | Chadwick Tromp,L | L | L | R,48.5,0.942,0.543,30,7,89,86,10,0,70,70,SOLID LEVERAGE,99,NUCLEAR,86,80,ELITE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Matt Olson | Michael Harris II,L | L,50.5,0.867,0.534,25,6,89,86,10,0,75,67,SOLID LEVERAGE,96,NUCLEAR,82,79,ATTACK STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,3,Matt Olson | Michael Harris II | Chadwick Tromp,L | L | R,48.33,0.958,0.546,25,7,89,86,10,0,70,67,SOLID LEVERAGE,99,NUCLEAR,83,78,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.233Z,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies at Arizona Diamondbacks,Chase Field,Michael Lorenzen,2,Corbin Carroll | Ildemaro Vargas,L | S,54.5,0.896,0.53,14,9,99,86,5,2.1,74,69,SOLID LEVERAGE,84,CHAOTIC,81,77,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Corbin Carroll: 7:83 | 8:82 | 9:82 | 13:79 | 14:79 || Ildemaro Vargas: 8:87 | 13:84 | 18:82 | 7:81 | 9:73
2026-05-23T14:34:16.237Z,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians at Philadelphia Phillies,Citizens Bank Park,Slade Cecconi,2,Bryce Harper | Brandon Marsh,L | L,46.5,0.848,0.495,16,5,90,81,5,6.3,73,66,SOLID LEVERAGE,84,CHAOTIC,84,77,ATTACK STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Bryce Harper: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Brandon Marsh: 7:75 | 8:74 | 9:74 | 13:71 | 14:71
