rank,name,team,opponent,game,pitcher,odds,final_hr_score,decision_tier,temperature,wind_speed,wind_direction,weather_desc,venue,roof_status,vegas_total,temp_score,wind_score,park_score,vegas_score,raw_weather_boost,weather_environment_score,weather_environment_grade,note
1,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,240,80.7,STRONG PLAY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
2,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,474,80.6,STRONG PLAY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
3,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,333,79.8,STRONG PLAY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
4,Brent Rooker,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,310,74.8,PLAYABLE,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
5,Dominic Canzone,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,529,72.2,VALUE BOMB,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
6,Tyler Soderstrom,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,475,70.9,VALUE BOMB,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
7,Jordan Walker,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,68.2,LOTTO ONLY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
8,Cal Raleigh,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,310,65.5,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
9,Julio Rodríguez,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,470,63.7,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
10,Zack Gelof,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,450,61.6,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
11,Josh Naylor,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,567,61.1,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
12,Colby Thomas,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,430,60,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
13,Randy Arozarena,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,591,59.4,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
14,Brendan Donovan,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,589,57.6,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
15,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,575,55.1,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
16,Nolan Gorman,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,54.7,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
17,Yordan Alvarez,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,285,54.1,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
18,Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,420,52.2,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
19,Ivan Herrera,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,670,52.1,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
20,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1200,50.6,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
21,Cole Young,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,1000,49.5,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
22,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,350,49,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
23,J.P. Crawford,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,1060,47.5,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
24,Pedro Pagés,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,760,46.7,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
25,Brice Matthews,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,520,42.8,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
26,Nathan Church,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1000,42.5,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
27,Darell Hernaiz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1000,42.2,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
28,Cesar Prieto,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,920,41,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
29,Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,537,40.1,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
30,César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,750,38.6,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
31,Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,541,37.4,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
32,Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,910,36.3,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
33,Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1450,31.9,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
34,Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,2200,30.8,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
35,Max Muncy,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,320,72.5,PLAYABLE,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
36,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,61.6,WATCH,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
37,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,60.6,WATCH,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
38,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,56.9,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
39,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,440,55.4,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
40,Dalton Rushing,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,54.3,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
41,Casey Schmitt,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,550,52.8,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
42,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,51.5,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
43,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,51.4,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
44,Mookie Betts,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,390,50.9,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
45,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,48.3,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
46,Willy Adames,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,720,43.8,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
47,Matt Chapman,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,790,38.5,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
48,Harrison Bader,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,900,37,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
49,Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1080,31.6,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
50,Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1220,30.9,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
51,Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1500,29.1,PASS,59.4,4.6,170,clear sky,UNIQLO Field at Dodger Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50.9,55,0,51.1,SUPPRESS,Weather slightly suppresses power
52,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,362,89,SLIP LAB ELITE,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.3,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
53,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,390,78.9,STRONG PLAY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.3,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
54,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,400,76.1,STRONG PLAY,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
