rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,weather_boost,weather_match,weather_temp,weather_humidity,weather_wind,weather_wind_deg,weather_desc,weather_label,weather_park,weather_roof_flag,weather_roof_status,vegas_game_total,vegas_total_boost,vegas_total_match,live_slate_status,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type
1,2026-05-15,2026,Junior Caminero,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,367,DraftKings,21.41,82.51,matched_local,10.9,43.8,91.4,0.499,,10.6,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Junior Caminero"",""player_key"":""junior caminero"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""367"",""book"":""DraftKings"",""consensus_odds"":""355"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+367 | FanDuel:+360 | Caesars:+350 | BetMGM:+325"",""raw_books_seen"":""DraftKings:+367 | FanDuel:+360 | Caesars:+350 | BetMGM:+325 | DraftKings:+323 | FanDuel:+310 | BetMGM:+310 | Caesars:+305"",""removed_outliers"":""4"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
2,2026-05-15,2026,Chandler Simpson,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,2500,BetMGM,3.85,44.07,missing,,,,,,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Chandler Simpson"",""player_key"":""chandler simpson"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""2500"",""book"":""BetMGM"",""consensus_odds"":""2100"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+2500 | DraftKings:+2200 | Caesars:+2000 | FanDuel:+1800"",""raw_books_seen"":""BetMGM:+2500 | DraftKings:+2200 | BetMGM:+2200 | Caesars:+2000 | FanDuel:+1800 | FanDuel:+1800 | DraftKings:+1680 | Caesars:+1500 | BetMGM:+2500"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
3,2026-05-15,2026,Steven Kwan,,Cleveland Guardians,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,824439,2026-05-15T23:10:00Z,Scheduled,Progressive Field,home,1,Andrew Abbott,Andrew Abbott,Andrew Abbott,671096,L,Andrew Abbott,671096,Tanner Bibee,676440,1580,DraftKings,5.95,43.12,missing,,,,,,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,"{""player"":""Steven Kwan"",""player_key"":""steven kwan"",""team"":""Cleveland Guardians"",""team_key"":""cleveland guardians"",""game"":""Cincinnati Reds @ Cleveland Guardians"",""game_key"":""cincinnati reds @ cleveland guardians"",""market"":""HR"",""line"":""0.5"",""odds"":""1580"",""book"":""DraftKings"",""consensus_odds"":""1400"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1580 | FanDuel:+1500 | Caesars:+1300 | BetMGM:+1000"",""raw_books_seen"":""DraftKings:+1580 | FanDuel:+1500 | Caesars:+1300 | BetMGM:+1000 | DraftKings:+1580"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-2,MATCH,40.6,88,0.0,0,clear sky,Mild suppress,Progressive Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Cincinnati Reds,probable,9,46.3,4.47,1.51,5.44,7.51,1.02,6.41,3.88,0.97,54.85,NEUTRAL,54.85,MATCH,Progressive Field,Progressive Field,Cleveland Guardians,47.00,47.00,47.00,NEUTRAL,Neutral to slight suppressor,MATCH
4,2026-05-15,2026,Victor Scott II,,St. Louis Cardinals,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,823061,2026-05-16T00:15:00Z,Scheduled,Busch Stadium,home,1,Michael Wacha,Michael Wacha,Michael Wacha,608379,R,Michael Wacha,608379,Dustin May,669160,1500,BetMGM,6.25,42.99,missing,,,,,,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,"{""player"":""Victor Scott II"",""player_key"":""victor scott"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""Kansas City Royals @ St. Louis Cardinals"",""game_key"":""kansas city royals @ st louis cardinals"",""market"":""HR"",""line"":""0.5"",""odds"":""1500"",""book"":""BetMGM"",""consensus_odds"":""1330"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1500 | DraftKings:+1360 | FanDuel:+1300 | Caesars:+1300"",""raw_books_seen"":""BetMGM:+1500 | DraftKings:+1360 | FanDuel:+1300 | Caesars:+1300 | BetMGM:+1500"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,1,MATCH,60.9,56,9.2,160,overcast clouds,Mild boost,Busch Stadium,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Kansas City Royals,probable,8,51.3,2.63,0.99,4.18,8.11,2.84,7.36,2.98,0.88,23.66,AVOID,23.66,MATCH,Busch Stadium,Busch Stadium,St. Louis Cardinals,40.00,40.00,40.00,SUPPRESSOR,HR suppressor,MATCH
5,2026-05-15,2026,Hunter Feduccia,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,1500,FanDuel,6.25,42.99,missing,,,,,,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Hunter Feduccia"",""player_key"":""hunter feduccia"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""1500"",""book"":""FanDuel"",""consensus_odds"":""1320"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+1500 | DraftKings:+1320 | Caesars:+1100"",""raw_books_seen"":""FanDuel:+1500 | DraftKings:+1320 | FanDuel:+1260 | Caesars:+1100 | FanDuel:+1500"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
6,2026-05-15,2026,Jacob Young,,Washington Nationals,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,822739,2026-05-15T22:45:00Z,Scheduled,Nationals Park,home,1,Shane Baz,Shane Baz,Shane Baz,669358,R,Shane Baz,669358,Zack Littell,641793,1450,BetMGM,6.45,42.90,missing,,,,,,,Washington Nationals,Baltimore Orioles @ Washington Nationals,"{""player"":""Jacob Young"",""player_key"":""jacob young"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Baltimore Orioles @ Washington Nationals"",""game_key"":""baltimore orioles @ washington nationals"",""market"":""HR"",""line"":""0.5"",""odds"":""1450"",""book"":""BetMGM"",""consensus_odds"":""1150"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1450 | FanDuel:+1200 | DraftKings:+1100 | Caesars:+1100"",""raw_books_seen"":""BetMGM:+1450 | FanDuel:+1200 | DraftKings:+1100 | Caesars:+1100 | BetMGM:+1450"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,53.4,72,15.0,320,broken clouds,Neutral,Nationals Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Baltimore Orioles,probable,8,44.3,5.48,1.56,5.15,8.35,6.19,7.71,3.86,1.02,70.15,LIVE,70.15,MATCH,Nationals Park,Nationals Park,Washington Nationals,51.00,51.00,51.00,NEUTRAL,Neutral,MATCH
7,2026-05-15,2026,Nasim Nuñez,,Washington Nationals,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,822739,2026-05-15T22:45:00Z,Scheduled,Nationals Park,home,1,Shane Baz,Shane Baz,Shane Baz,669358,R,Shane Baz,669358,Zack Littell,641793,1450,BetMGM,6.45,42.90,missing,,,,,,,Washington Nationals,Baltimore Orioles @ Washington Nationals,"{""player"":""Nasim Nuñez"",""player_key"":""nasim nunez"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Baltimore Orioles @ Washington Nationals"",""game_key"":""baltimore orioles @ washington nationals"",""market"":""HR"",""line"":""0.5"",""odds"":""1450"",""book"":""BetMGM"",""consensus_odds"":""1260"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1450 | DraftKings:+1260 | FanDuel:+1260 | Caesars:+1100"",""raw_books_seen"":""BetMGM:+1450 | DraftKings:+1260 | FanDuel:+1260 | Caesars:+1100 | BetMGM:+1450"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,53.4,72,15.0,320,broken clouds,Neutral,Nationals Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Baltimore Orioles,probable,8,44.3,5.48,1.56,5.15,8.35,6.19,7.71,3.86,1.02,70.15,LIVE,70.15,MATCH,Nationals Park,Nationals Park,Washington Nationals,51.00,51.00,51.00,NEUTRAL,Neutral,MATCH
8,2026-05-15,2026,Alec Bohm,,Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,823384,2026-05-15T22:40:00Z,Scheduled,PNC Park,away,0,Braxton Ashcraft,Braxton Ashcraft,Braxton Ashcraft,677952,R,Braxton Ashcraft,677952,Aaron Nola,605400,1400,DraftKings,6.67,42.80,missing,,,,,,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,"{""player"":""Alec Bohm"",""player_key"":""alec bohm"",""team"":""Philadelphia Phillies"",""team_key"":""philadelphia phillies"",""game"":""Philadelphia Phillies @ Pittsburgh Pirates"",""game_key"":""philadelphia phillies @ pittsburgh pirates"",""market"":""HR"",""line"":""0.5"",""odds"":""1400"",""book"":""DraftKings"",""consensus_odds"":""1275"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1400 | FanDuel:+1300 | BetMGM:+1250 | Caesars:+1100"",""raw_books_seen"":""DraftKings:+1400 | FanDuel:+1300 | BetMGM:+1250 | Caesars:+1100 | DraftKings:+1400"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-1,MATCH,43.0,82,6.9,310,clear sky,Mild suppress,PNC Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Pittsburgh Pirates,probable,8,48.7,2.77,1.05,3.47,8.16,3.32,9.43,2.59,0.74,17.54,AVOID,17.54,MATCH,PNC Park,PNC Park,Pittsburgh Pirates,39.00,39.00,39.00,SUPPRESSOR,HR suppressor,MATCH
9,2026-05-15,2026,Cole Young,,Seattle Mariners,San Diego Padres,San Diego Padres @ Seattle Mariners,823140,2026-05-16T01:40:00Z,Scheduled,T-Mobile Park,home,1,Randy Vásquez,Randy Vásquez,Randy Vásquez,681190,R,Randy Vásquez,681190,Emerson Hancock,676106,1350,BetMGM,6.90,42.70,missing,,,,,,,Seattle Mariners,San Diego Padres @ Seattle Mariners,"{""player"":""Cole Young"",""player_key"":""cole young"",""team"":""Seattle Mariners"",""team_key"":""seattle mariners"",""game"":""San Diego Padres @ Seattle Mariners"",""game_key"":""san diego padres @ seattle mariners"",""market"":""HR"",""line"":""0.5"",""odds"":""1350"",""book"":""BetMGM"",""consensus_odds"":""935"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1350 | Caesars:+950 | FanDuel:+920 | DraftKings:+890"",""raw_books_seen"":""BetMGM:+1350 | Caesars:+950 | FanDuel:+920 | DraftKings:+890 | BetMGM:+1350"",""removed_outliers"":""1"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,49.2,84,10.4,170,broken clouds,Roof controlled,T-Mobile Park,1,ROOF_OR_RETRACTABLE,,0.0,NO_MATCH,UPCOMING,San Diego Padres,probable,8,44.3,3.05,1.17,3.93,8.99,5.17,8.53,2.64,0.81,31.20,AVOID,31.20,MATCH,T-Mobile Park,T-Mobile Park,Seattle Mariners,45.00,45.00,45.00,NEUTRAL,Slight suppressor,MATCH
10,2026-05-15,2026,Luis Torrens,,New York Mets,New York Yankees,New York Yankees @ New York Mets,823629,2026-05-15T23:15:00Z,Scheduled,Citi Field,home,1,Cam Schlittler,Cam Schlittler,Cam Schlittler,693645,R,Cam Schlittler,693645,Clay Holmes,605280,1320,DraftKings,7.04,42.63,missing,,,,,,,New York Mets,New York Yankees @ New York Mets,"{""player"":""Luis Torrens"",""player_key"":""luis torrens"",""team"":""New York Mets"",""team_key"":""new york mets"",""game"":""New York Yankees @ New York Mets"",""game_key"":""new york yankees @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""1320"",""book"":""DraftKings"",""consensus_odds"":""1200"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1320 | FanDuel:+1300 | Caesars:+1100 | BetMGM:+1050"",""raw_books_seen"":""DraftKings:+1320 | FanDuel:+1300 | Caesars:+1100 | BetMGM:+1050 | DraftKings:+1320"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,52.0,75,11.5,300,broken clouds,Neutral,Citi Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,New York Yankees,probable,9,53.3,1.35,0.81,2.40,7.83,0.51,9.96,1.52,0.17,1.00,AVOID,1.00,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
