game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Kyle Stowers,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.97,34.00,81.90,41.55,55.96,1.4400%,2.0593%,43.01%,53.45,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Liam Hicks,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.99,34.00,81.33,42.06,55.92,1.4400%,2.0576%,42.89%,53.42,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.88,34.00,81.71,41.42,55.87,1.4400%,2.0583%,42.93%,53.36,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.93,34.00,81.25,41.94,55.87,1.4400%,2.0570%,42.85%,53.36,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Liam Hicks,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.90,34.00,81.49,41.67,55.87,0.1728%,0.2469%,42.89%,53.36,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.86,34.00,81.44,41.59,55.84,0.1728%,0.2469%,42.87%,53.33,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.83,34.00,81.74,41.25,55.84,0.1728%,0.2470%,42.92%,53.32,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.84,34.00,81.36,41.59,55.82,0.1728%,0.2468%,42.84%,53.31,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.83,34.00,81.43,41.50,55.81,1.4400%,2.0571%,42.86%,53.30,C,LOW,HIGH_RISK,Otto Lopez | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.87,34.00,81.06,41.93,55.81,0.1728%,0.2467%,42.79%,53.30,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.81,34.00,81.48,41.42,55.80,0.0207%,0.0296%,42.86%,53.29,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.83,34.00,81.25,41.67,55.80,0.0207%,0.0296%,42.82%,53.29,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.79,34.00,81.56,41.30,55.80,0.1728%,0.2469%,42.87%,53.28,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.78,34.00,81.52,41.30,55.79,1.4400%,2.0571%,42.86%,53.27,C,LOW,HIGH_RISK,Otto Lopez | Connor Norby
