rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
1,Jeff McNeil,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,1200,63.56,62.39,49.61,58.40,67.90,65.60,61.30,58.00,4.05,9.79%,9.54%,90.46%,0.382%,7.69%,948,24.05%,1.85%,0.00%,LEAN_PROBABILITY,PLUS_EV,BETTABLE_VALUE,THIN,LOW
2,Nick Kurtz,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,333,76.75,72.97,53.45,70.20,75.00,80.70,61.30,69.00,4.43,16.92%,18.40%,81.60%,1.422%,23.09%,443,-20.33%,-4.69%,4.69%,TOP_PROBABILITY,TAXED_PRICE,PROBABILITY_PLAY,STRONG_PLAY,MEDIUM_HIGH
3,Ian Happ,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,430,73.74,70.81,53.05,68.50,78.10,75.10,57.60,64.00,4.05,14.31%,15.22%,84.78%,0.973%,18.87%,557,-19.34%,-3.65%,3.65%,STRONG_PROBABILITY,TAXED_PRICE,PROBABILITY_PLAY,PLAYABLE,MEDIUM
4,Luke Raley,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,474,73.28,70.77,54.65,72.30,79.90,73.60,57.80,56.00,4.05,14.29%,14.91%,85.09%,0.934%,17.42%,571,-14.40%,-2.51%,2.51%,STRONG_PROBABILITY,FAIR_OR_THIN,PROBABILITY_PLAY,PLAYABLE,MEDIUM
5,Tyler Soderstrom,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,475,71.61,68.35,52.67,65.30,68.60,75.10,61.30,66.00,4.05,13.67%,14.42%,85.58%,0.873%,17.39%,594,-17.10%,-2.97%,2.97%,STRONG_PROBABILITY,FAIR_OR_THIN,PROBABILITY_PLAY,PLAYABLE,MEDIUM
6,Brent Rooker,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,310,74.53,70.71,52.79,66.30,72.10,77.80,61.30,69.00,4.43,15.78%,17.85%,82.15%,1.338%,24.39%,460,-26.81%,-6.54%,6.54%,TOP_PROBABILITY,TAXED_PRICE,WATCHLIST,STRONG_PLAY,MEDIUM_HIGH
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,398,70.89,68.53,51.82,67.90,73.80,78.70,47.10,59.00,4.05,13.17%,14.55%,85.45%,0.889%,20.08%,587,-27.55%,-5.53%,5.53%,STRONG_PROBABILITY,TAXED_PRICE,WATCHLIST,PLAYABLE,MEDIUM
8,Corey Seager,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,441,69.88,68.54,51.92,65.90,74.70,81.00,52.20,56.00,4.05,13.17%,14.23%,85.77%,0.851%,18.48%,603,-23.00%,-4.25%,4.25%,STRONG_PROBABILITY,TAXED_PRICE,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
9,Juan Soto,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,470,69.79,68.00,50.16,64.90,71.30,79.70,53.70,62.00,4.05,12.90%,13.83%,86.17%,0.803%,17.54%,623,-21.18%,-3.72%,3.72%,STRONG_PROBABILITY,TAXED_PRICE,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
10,Moisés Ballesteros,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,610,70.10,68.28,52.63,64.60,76.50,73.20,57.60,61.00,4.05,12.64%,12.87%,87.13%,0.696%,14.08%,677,-8.62%,-1.21%,1.21%,PLAYABLE_PROBABILITY,FAIR_OR_THIN,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
11,Dominic Canzone,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,529,70.21,67.55,53.87,68.20,74.60,69.30,57.80,56.00,4.05,12.27%,12.85%,87.15%,0.694%,15.90%,678,-19.15%,-3.04%,3.04%,PLAYABLE_PROBABILITY,TAXED_PRICE,WATCHLIST,PLAYABLE,MEDIUM
12,Bobby Witt Jr.,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,475,66.82,65.34,50.33,62.10,69.70,76.80,51.50,56.00,4.05,11.57%,12.73%,87.27%,0.681%,17.39%,685,-26.79%,-4.66%,4.66%,PLAYABLE_PROBABILITY,TAXED_PRICE,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
13,Jordan Walker,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,650,68.23,65.91,48.80,60.40,69.10,73.30,61.30,63.00,4.05,12.05%,12.26%,87.74%,0.631%,13.33%,716,-8.06%,-1.07%,1.07%,PLAYABLE_PROBABILITY,FAIR_OR_THIN,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
14,Pete Crow-Armstrong,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,550,66.78,64.59,51.89,61.20,69.30,66.50,57.60,64.00,4.05,10.80%,11.53%,88.47%,0.558%,15.38%,767,-25.05%,-3.85%,3.85%,PLAYABLE_PROBABILITY,TAXED_PRICE,WATCHLIST,LEANS_PLAYABLE,LOW_MEDIUM
15,Shea Langeliers,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,240,77.79,74.00,54.14,69.80,77.00,81.40,61.30,72.00,4.43,17.83%,21.07%,78.93%,1.865%,29.41%,375,-28.35%,-8.34%,8.34%,ELITE_PROBABILITY,TAXED_PRICE,PASS,STRONG_PLAY,MEDIUM_HIGH
16,Kyle Stowers,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,400,69.98,67.21,54.62,67.20,71.90,70.20,53.90,61.00,4.05,12.51%,14.01%,85.99%,0.824%,20.00%,614,-29.97%,-5.99%,5.99%,STRONG_PROBABILITY,TAXED_PRICE,PASS,PLAYABLE,MEDIUM
17,Christopher Morel,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,520,66.22,64.42,53.63,64.50,69.10,67.50,53.90,58.00,4.05,10.71%,11.58%,88.42%,0.563%,16.13%,764,-28.21%,-4.55%,4.55%,PLAYABLE_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
18,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,573,66.03,64.53,51.49,60.80,69.50,73.90,52.20,56.00,4.05,10.77%,11.42%,88.58%,0.548%,14.86%,776,-23.14%,-3.44%,3.44%,PLAYABLE_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
19,Dansby Swanson,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,650,66.51,64.43,52.07,61.00,68.40,68.60,57.60,61.00,4.05,10.71%,11.13%,88.87%,0.521%,13.33%,798,-16.50%,-2.20%,2.20%,PLAYABLE_PROBABILITY,FAIR_OR_THIN,PASS,LEANS_PLAYABLE,LOW_MEDIUM
20,Alec Burleson,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,575,64.55,62.24,48.37,55.10,61.60,69.30,61.30,66.00,4.05,10.22%,10.96%,89.04%,0.504%,14.81%,813,-26.04%,-3.86%,3.86%,LEAN_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
21,Mark Vientos,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,570,63.97,63.06,49.34,57.70,65.20,73.60,53.70,62.00,4.05,10.03%,10.81%,89.19%,0.491%,14.93%,825,-27.56%,-4.11%,4.11%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
22,Joc Pederson,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,590,64.52,62.94,50.90,58.90,67.10,71.50,52.20,56.00,4.05,9.97%,10.69%,89.31%,0.480%,14.49%,835,-26.21%,-3.80%,3.80%,LEAN_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
23,Otto Lopez,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,850,66.74,65.32,54.98,63.10,71.90,71.10,53.90,55.00,4.05,10.66%,10.65%,89.35%,0.476%,10.53%,839,1.13%,0.12%,0.00%,LEAN_PROBABILITY,FAIR_OR_THIN,PASS,LEANS_PLAYABLE,LOW_MEDIUM
24,Connor Norby,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,650,64.75,63.12,54.00,62.50,68.10,66.40,53.90,55.00,4.05,10.06%,10.58%,89.42%,0.470%,13.33%,845,-20.63%,-2.75%,2.75%,LEAN_PROBABILITY,TAXED_PRICE,PASS,LEANS_PLAYABLE,LOW_MEDIUM
25,Heriberto Hernández,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,598,63.19,62.36,54.02,61.90,66.50,65.50,53.90,58.00,4.05,9.68%,10.42%,89.58%,0.456%,14.33%,859,-27.24%,-3.90%,3.90%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
26,Nolan Gorman,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,650,62.43,61.34,47.84,53.60,60.90,71.60,61.30,63.00,4.05,9.82%,10.38%,89.62%,0.453%,13.33%,863,-22.13%,-2.95%,2.95%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
27,Owen Caissie,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,850,66.12,64.68,54.25,62.70,72.50,68.30,53.90,55.00,4.05,10.34%,10.36%,89.64%,0.451%,10.53%,865,-1.54%,-0.16%,0.16%,LEAN_PROBABILITY,FAIR_OR_THIN,PASS,LEANS_PLAYABLE,LOW_MEDIUM
28,Carson Kelly,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,680,62.71,61.53,51.38,59.50,67.20,60.80,57.60,61.00,4.05,9.30%,9.86%,90.14%,0.409%,12.82%,914,-23.07%,-2.96%,2.96%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
29,Evan Carter,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,770,60.62,60.09,50.40,55.20,64.70,68.90,52.20,53.00,4.05,8.69%,9.03%,90.97%,0.342%,11.49%,1008,-21.48%,-2.47%,2.47%,LEAN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
30,Liam Hicks,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,900,61.23,61.10,54.27,58.60,69.80,64.50,53.90,50.00,4.05,8.62%,8.78%,91.22%,0.324%,10.00%,1038,-12.16%,-1.22%,1.22%,LEAN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
31,Adrian Del Castillo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,780,58.28,58.52,49.94,55.50,63.60,64.80,52.20,53.00,4.05,8.02%,8.42%,91.58%,0.298%,11.36%,1087,-25.88%,-2.94%,2.94%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
32,Xavier Edwards,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,950,60.35,60.13,54.10,57.80,67.30,63.70,53.90,50.00,4.05,8.20%,8.36%,91.64%,0.294%,9.52%,1096,-12.19%,-1.16%,1.16%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
33,Jakob Marsee,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,900,59.78,59.51,53.43,56.80,66.50,63.00,53.90,50.00,4.05,7.94%,8.19%,91.81%,0.282%,10.00%,1121,-18.12%,-1.81%,1.81%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
34,Gabriel Moreno,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1000,60.07,59.75,50.05,57.10,65.80,67.60,52.20,48.00,4.05,8.04%,8.17%,91.83%,0.280%,9.09%,1124,-10.13%,-0.92%,0.92%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
35,Cole Young,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,1000,59.54,59.29,52.16,57.20,67.10,61.20,57.80,48.00,4.05,7.85%,8.00%,92.00%,0.269%,9.09%,1150,-12.01%,-1.09%,1.09%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
36,J.P. Crawford,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,1060,58.77,58.47,51.57,56.20,66.00,59.90,57.80,48.00,4.05,7.50%,7.63%,92.37%,0.245%,8.62%,1210,-11.45%,-0.99%,0.99%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
37,Nathan Church,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,1000,56.68,56.82,46.87,48.00,57.80,65.80,61.30,58.00,4.05,7.43%,7.63%,92.37%,0.244%,9.09%,1211,-16.09%,-1.46%,1.46%,THIN_PROBABILITY,FAIR_OR_THIN,PASS,THIN,LOW
38,Joe Mack,Miami Marlins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,900,57.34,57.94,52.86,56.50,65.10,60.00,53.90,50.00,4.05,7.28%,7.60%,92.40%,0.243%,10.00%,1215,-23.98%,-2.40%,2.40%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
39,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,930,58.11,57.85,50.27,53.50,62.40,66.40,52.20,48.00,4.05,7.24%,7.54%,92.46%,0.239%,9.71%,1227,-22.37%,-2.17%,2.17%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
40,Darell Hernaiz,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,1000,56.29,56.21,49.63,51.90,59.30,56.40,61.30,58.00,4.05,7.18%,7.41%,92.59%,0.231%,9.09%,1249,-18.47%,-1.68%,1.68%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
41,Luis Torrens,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,930,55.90,55.77,47.33,52.90,60.00,58.60,53.70,54.00,4.05,6.41%,6.80%,93.20%,0.194%,9.71%,1370,-29.93%,-2.91%,2.91%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
42,Nico Hoerner,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,1280,54.59,54.55,48.45,49.50,57.30,56.60,57.60,56.00,3.93,5.75%,5.93%,94.07%,0.148%,7.25%,1586,-18.15%,-1.31%,1.31%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
43,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,1220,51.53,51.86,46.60,50.00,60.60,48.40,52.20,48.00,3.93,5.15%,5.44%,94.56%,0.124%,7.58%,1738,-28.20%,-2.14%,2.14%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
44,Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1280,50.87,51.00,45.99,50.00,55.00,52.80,47.10,48.00,3.93,5.00%,5.27%,94.73%,0.117%,7.25%,1797,-27.25%,-1.97%,1.97%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
45,Masyn Winn,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,1450,45.01,47.44,42.46,41.30,45.40,51.50,61.30,58.00,3.93,4.60%,4.82%,95.18%,0.098%,6.45%,1975,-25.31%,-1.63%,1.63%,THIN_PROBABILITY,TAXED_PRICE,PASS,THIN,LOW
46,Victor Scott II,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,2200,45.85,48.14,40.25,41.20,47.30,53.20,61.30,58.00,3.93,4.72%,4.67%,95.33%,0.092%,4.35%,2040,7.46%,0.32%,0.00%,THIN_PROBABILITY,SMALL_EDGE,PASS,THIN,LOW
47,Chandler Simpson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,2200,36.35,41.01,35.75,37.40,42.20,48.40,47.10,48.00,3.93,2.90%,3.08%,96.92%,0.040%,4.35%,3149,-29.22%,-1.27%,1.27%,THIN_PROBABILITY,TAXED_PRICE,PASS,FADE,LOW
